row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),,,,
HA Attapeu,Phải thu về cho vay dài hạn (*) > HA Attapeu,HA Attapeu,Công ty con,Cho vay,3.122.303.026,3.626.284.434,,,3122303026.0,3626284434.0
HA Oyadav,Phải thu về cho vay dài hạn (*) > HA Oyadav,HA Oyadav,Công ty con,Cho vay,762.449.593,848.702.593,,,762449593.0,848702593.0
HA Rattanakiri,Phải thu về cho vay dài hạn (*) > HA Rattanakiri,HA Rattanakiri,Công ty con,Cho vay,656.224.354,805.908.354,,,656224354.0,805908354.0
Bò sữa Tây Nguyên,Phải thu về cho vay dài hạn (*) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Cho vay,415.254.509,389.563.000,,,415254509.0,389563000.0
HAQM Lào,Phải thu về cho vay dài hạn (*) > HAQM Lào,HAQM Lào,Công ty con,Cho vay,384.815.315,234.617.379,,,384815315.0,234617379.0
HAQM Việt Nam,Phải thu về cho vay dài hạn (*) > HAQM Việt Nam,HAQM Việt Nam,Công ty con,Cho vay,-,735.649.043,,,,735649043.0
HA Andong Meas,Phải thu về cho vay dài hạn (*) > HA Andong Meas,HA Andong Meas,Công ty con,Cho vay,-,201.590.298,,,,201590298.0
HA Đắk Lắk,Phải thu về cho vay dài hạn (*) > HA Đắk Lắk,HA Đắk Lắk,Công ty con,Cho vay,-,120.383.980,,,,120383980.0
An Đông Mia,Phải thu về cho vay dài hạn (*) > An Đông Mia,An Đông Mia,Công ty có cùng thành viên HĐQT,Cho vay,-,41.100.502,,,,41100502.0
