row_label_raw,row_label_full,TỔNG CỘNG,TỔNG CỘNG_1,TỔNG CỘNG_2,1.263.733.707,1.935.692.571,numeric__TỔNG CỘNG_1,numeric__TỔNG CỘNG_2,numeric__1.263.733.707,numeric__1.935.692.571
Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),,,,
HA Attapeu,Phải thu về cho vay ngắn hạn (*) > HA Attapeu,HA Attapeu,Công ty con,Cho vay,858.792.408,351.399.356,,,858792408.0,351399356.0
HAQM Lào,Phải thu về cho vay ngắn hạn (*) > HAQM Lào,HAQM Lào,Công ty con,Cho vay,234.617.379,13.709.147,,,234617379.0,13709147.0
An Đông Mia,Phải thu về cho vay ngắn hạn (*) > An Đông Mia,An Đông Mia,Công ty trong cùng Tập đoàn,Cho vay,154.759.773,-,,,154759773.0,
HA Rattanakiri,Phải thu về cho vay ngắn hạn (*) > HA Rattanakiri,HA Rattanakiri,Công ty con,Cho vay,149.684.000,-,,,149684000.0,
HA Oyadav,Phải thu về cho vay ngắn hạn (*) > HA Oyadav,HA Oyadav,Công ty con,Cho vay,86.253.000,-,,,86253000.0,
Bò sữa Tây Nguyên,Phải thu về cho vay ngắn hạn (*) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Cho vay,28.530.000,9.263.955,,,28530000.0,9263955.0
HAQM Việt Nam,Phải thu về cho vay ngắn hạn (*) > HAQM Việt Nam,HAQM Việt Nam,Công ty con,Cho vay,15.638.988,-,,,15638988.0,
HA Andong Meas,Phải thu về cho vay ngắn hạn (*) > HA Andong Meas,HA Andong Meas,Công ty con,Cho vay,-,151.974.002,,,,151974002.0
HA Lumphat,Phải thu về cho vay ngắn hạn (*) > HA Lumphat,HA Lumphat,Công ty trong cùng Tập đoàn,Cho vay,-,9.294.800,,,,9294800.0
HA Đắk Lắk,Phải thu về cho vay ngắn hạn (*) > HA Đắk Lắk,HA Đắk Lắk,Công ty con,Cho vay,-,8.077.420,,,,8077420.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (*) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.528.275.548,543.718.680,,,1528275548.0,543718680.0
