row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải trả người bán ngắn hạn (TM số 13) (tiếp theo),Phải trả người bán ngắn hạn (TM số 13) (tiếp theo),Phải trả người bán ngắn hạn (TM số 13) (tiếp theo),Phải trả người bán ngắn hạn (TM số 13) (tiếp theo),Phải trả người bán ngắn hạn (TM số 13) (tiếp theo),Phải trả người bán ngắn hạn (TM số 13) (tiếp theo),Phải trả người bán ngắn hạn (TM số 13) (tiếp theo),,,,
Công ty TNHH MTV Căng Chu Lai Trường Hải,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > Công ty TNHH MTV Căng Chu Lai Trường Hải,Công ty TNHH MTV Căng Chu Lai Trường Hải,Công ty có cùng thành viên HĐQT,Mua hàng hóa,1.303.322,-,,,1303322.0,
Công ty Cổ phần Bệnh viện Đại học Y Dược - Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > Công ty Cổ phần Bệnh viện Đại học Y Dược - Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Đại học Y Dược - Công ty Cổ phần Hoàng Anh Gia Lai,Bên liên quan,Mua dịch vụ,755.993,-,,,755993.0,
Công ty TNHH MTV Sản xuất linh kiện Composite Chu Lai Trường Hải,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > Công ty TNHH MTV Sản xuất linh kiện Composite Chu Lai Trường Hải,Công ty TNHH MTV Sản xuất linh kiện Composite Chu Lai Trường Hải,Công ty có cùng thành viên HĐQT,Mua vật tư,130.560,186.340,,,130560.0,186340.0
XNK HAGL,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > XNK HAGL,XNK HAGL,Công ty con,Mua hàng hóa và dịch vụ,-,4.594.071,,,,4594071.0
Chăn Nuôi Gia Lai,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > Chăn Nuôi Gia Lai,Chăn Nuôi Gia Lai,Bên liên quan,Mua hàng hóa,31.590,-,,,31590.0,
Nông nghiệp Daun Penh,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > Nông nghiệp Daun Penh,Nông nghiệp Daun Penh,Công ty có cùng thành viên HĐQT,Mua trái cây,-,91.845.863,,,,91845863.0
Công ty TNHH Bình Phước Kratie Rubber 2,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > Công ty TNHH Bình Phước Kratie Rubber 2,Công ty TNHH Bình Phước Kratie Rubber 2,Công ty có cùng thành viên HĐQT,Mua trái cây,-,73.677.590,,,,73677590.0
HAG,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > HAG,HAG,Công ty mẹ,Mua hàng hóa và dịch vụ,-,42.820.770,,,,42820770.0
Đường bộ Chu Lai,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > Đường bộ Chu Lai,Đường bộ Chu Lai,Công ty có cùng thành viên HĐQT,Mua hàng hóa và dịch vụ,-,12.439.480,,,,12439480.0
Máy Nông Nghiệp Thaco,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > Máy Nông Nghiệp Thaco,Máy Nông Nghiệp Thaco,Công ty có cùng thành viên HĐQT,Mua hàng hóa và vật tư,-,6.080.000,,,,6080000.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 13) (tiếp theo) > TỔNG CỘNG,TỔNG CỘNG,,,578.819.180,447.126.156,,,578819180.0,447126156.0
