row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),,,,
HAQM Lào,Trả trước cho người bán ngắn hạn (TM số 6) > HAQM Lào,HAQM Lào,Công ty con,Mua hàng hóa,562.744.354,510.484.660,,,562744354.0,510484660.0
HA Đắk Lắk,Trả trước cho người bán ngắn hạn (TM số 6) > HA Đắk Lắk,HA Đắk Lắk,Công ty con,Mua hàng hóa,251.335.334,86.888.838,,,251335334.0,86888838.0
HA Attapeu,Trả trước cho người bán ngắn hạn (TM số 6) > HA Attapeu,HA Attapeu,Công ty con,Mua hàng hóa,249.896.170,480.182.096,,,249896170.0,480182096.0
XNK HAGL,Trả trước cho người bán ngắn hạn (TM số 6) > XNK HAGL,XNK HAGL,Công ty con,Mua hàng hóa,184.291.125,-,,,184291125.0,
Bò sữa Tây Nguyên,Trả trước cho người bán ngắn hạn (TM số 6) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Mua hàng hóa,1.003.673,51.704.303,,,1003673.0,51704303.0
HA Andong Meas,Trả trước cho người bán ngắn hạn (TM số 6) > HA Andong Meas,HA Andong Meas,Công ty con,Mua hàng hóa,8.629.747,54.285.631,,,8629747.0,54285631.0
Đại Thắng,Trả trước cho người bán ngắn hạn (TM số 6) > Đại Thắng,Đại Thắng,Công ty trong cùng Tập đoàn,Mua hàng hóa,5.434.295,5.434.295,,,5434295.0,5434295.0
HA Lumphat,Trả trước cho người bán ngắn hạn (TM số 6) > HA Lumphat,HA Lumphat,Công ty có cùng thành viên HĐQT,Mua hàng hóa,399.009,694.383.989,,,399009.0,694383989.0
Cao su Trung Nguyên,Trả trước cho người bán ngắn hạn (TM số 6) > Cao su Trung Nguyên,Cao su Trung Nguyên,Công ty có cùng thành viên HĐQT,Mua hàng hóa,-,28.257.752,,,,28257752.0
Heng Brothers,Trả trước cho người bán ngắn hạn (TM số 6) > Heng Brothers,Heng Brothers,Công ty con,Mua hàng hóa,-,20.719.486,,,,20719486.0
Eastern,Trả trước cho người bán ngắn hạn (TM số 6) > Eastern,Eastern,Công ty có cùng thành viên HĐQT,Mua hàng hóa,-,3.351.521,,,,3351521.0
