row_label_raw,row_label_full,TỔNG CỘNG,TỔNG CỘNG_1,TỔNG CỘNG_2,5.341.046.797,7.003.799.583,numeric__TỔNG CỘNG_1,numeric__TỔNG CỘNG_2,numeric__5.341.046.797,numeric__7.003.799.583
Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),,,,
HA Attapeu,Phải thu dài hạn khác (TM số 7) > HA Attapeu,HA Attapeu,Công ty con,Lãi cho vay,1.134.016.590,896.056.291,,,1134016590.0,896056291.0
HAQM Lào,Phải thu dài hạn khác (TM số 7) > HAQM Lào,HAQM Lào,Công ty con,Cán trừ công nợ,128.691.786,158.156.506,,,128691786.0,158156506.0
HAQM Lào,Phải thu dài hạn khác (TM số 7) > HAQM Lào,HAQM Lào,Công ty con,Lãi cho vay,15.057.513,3.029.342,,,15057513.0,3029342.0
HAQM Việt Nam,Phải thu dài hạn khác (TM số 7) > HAQM Việt Nam,HAQM Việt Nam,Công ty con,Lãi cho vay,30.700.993,413.033.795,,,30700993.0,413033795.0
HA Rattanakiri,Phải thu dài hạn khác (TM số 7) > HA Rattanakiri,HA Rattanakiri,Công ty con,Lãi cho vay,19.625.906,340.592.126,,,19625906.0,340592126.0
HA Oyadav,Phải thu dài hạn khác (TM số 7) > HA Oyadav,HA Oyadav,Công ty con,Lãi cho vay,13.442.166,169.310.117,,,13442166.0,169310117.0
An Đông Mia,Phải thu dài hạn khác (TM số 7) > An Đông Mia,An Đông Mia,Công ty có cùng thành viên HĐQT,Lãi cho vay,5.142.322,5.029.534,,,5142322.0,5029534.0
Bò sữa Tây Nguyên,Phải thu dài hạn khác (TM số 7) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Lãi cho vay,3.703.160,4.191.897,,,3703160.0,4191897.0
HA Đắk Lắk,Phải thu dài hạn khác (TM số 7) > HA Đắk Lắk,HA Đắk Lắk,Công ty con,Lãi cho vay,-,25.621.550,,,,25621550.0
TỔNG CỘNG,Phải thu dài hạn khác (TM số 7) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.350.380.436,2.015.021.158,,,1350380436.0,2015021158.0
