row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.121.211.542,209.575.929,1121211542.0,209575929.0
Phải trả các bên liên quan từ việc cán trừ công nợ,Phải trả các bên liên quan từ việc cán trừ công nợ,Phải trả các bên liên quan từ việc cán trừ công nợ,987.958.066,190.938.404,987958066.0,190938404.0
Thu hộ,Thu hộ,Thu hộ,78.333.840,-,78333840.0,
Mượn tiền,Mượn tiền,Mượn tiền,12.075.567,11.823.581,12075567.0,11823581.0
Phải trả khác,Phải trả khác,Phải trả khác,42.844.069,6.813.944,42844069.0,6813944.0
Dài hạn,Dài hạn,Dài hạn,661.265.916,754.133.163,661265916.0,754133163.0
Phải trả các bên liên quan từ việc cán trừ công nợ,Phải trả các bên liên quan từ việc cán trừ công nợ,Phải trả các bên liên quan từ việc cán trừ công nợ,424.907.998,754.133.163,424907998.0,754133163.0
Mượn tiền,Mượn tiền,Mượn tiền,236.357.918,-,236357918.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.782.477.458,963.709.092,1782477458.0,963709092.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn bên liên quan (TM số 27),Trong đó: > Phải trả ngắn hạn bên liên quan (TM số 27),Phải trả ngắn hạn bên liên quan (TM số 27),1.078.367.473,202.761.985,1078367473.0,202761985.0
Phải trả dài hạn bên liên quan (TM số 27),Trong đó: > Phải trả dài hạn bên liên quan (TM số 27),Phải trả dài hạn bên liên quan (TM số 27),424.907.998,754.133.163,424907998.0,754133163.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,279.201.987,6.813.944,279201987.0,6813944.0
