row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngàn VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,25.195.750,27.062.148,6.483.187,2.929.215,61.670.300,25195750.0,27062148.0,6483187.0,2929215.0,61670300.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,480.793,137.865,39.500,658.158,,480793.0,137865.0,39500.0,658158.0
Chuyển từ xây dựng cơ bảnđở dang hoàn thành,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang hoàn thành,Chuyển từ xây dựng cơ bảnđở dang hoàn thành,15.464.118,-,-,-,15.464.118,15464118.0,,,,15464118.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(567.300),-,-,(567.300),,-567300.0,,,-567300.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,40.659.868,26.975.641,6.621.052,2.968.715,77.225.276,40659868.0,26975641.0,6621052.0,2968715.0,77225276.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,-,2.542.158,281.274,2.823.432,,,2542158.0,281274.0,2823432.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,2.472.377,2.756.135,4.254.915,435.060,9.918.487,2472377.0,2756135.0,4254915.0,435060.0,9918487.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.294.877,2.747.271,659.218,535.513,6.236.879,2294877.0,2747271.0,659218.0,535513.0,6236879.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(37.546),-,-,(37.546),,-37546.0,,,-37546.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,4.767.254,5.465.860,4.914.133,970.573,16.117.820,4767254.0,5465860.0,4914133.0,970573.0,16117820.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,22.723.373,24.306.013,2.228.272,2.494.155,51.751.813,22723373.0,24306013.0,2228272.0,2494155.0,51751813.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,35.892.614,21.509.781,1.706.919,1.998.142,61.107.456,35892614.0,21509781.0,1706919.0,1998142.0,61107456.0
