row_label_raw,row_label_full,Tên ngân hàng,Số cuối nămNgàn VND,Nguyên tệUSD,Thời hạn thanh toán,Lãi suất%/năm,Tài sản đảm bảo,numeric__Số cuối nămNgàn VND,numeric__Nguyên tệUSD,numeric__Thời hạn thanh toán,numeric__Lãi suất%/năm,numeric__Tài sản đảm bảo
"BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai",,,,,
Khoản vay ngày 1 tháng 4 năm 2010,"BIDV, Chi nhánh Gia Lai > Khoản vay ngày 1 tháng 4 năm 2010",Khoản vay ngày 1 tháng 4 năm 2010,722.805.307,31.168.836,Từ ngày 31 tháng 12 năm 2021 đến ngày 31 tháng 12 năm 2026,"Lãi suất tiết kiệm của BIDV bằng USD hạn 12 tháng trả lãi sau + 4,70%/năm (2020: 7,20-8,50)","Quyền sử dụng đất và vườn cây cao su với quy mô 9.996,9 ha tại Huyện Saysetha, và Phu Vong, Tĩnh Attapeu, Lào thuộc sở hữu của HA Attapeu.",722805307.0,31168836.0,,,
"Sacombank, Chi nhánh Sài Gòn (*)","Sacombank, Chi nhánh Sài Gòn (*)","Sacombank, Chi nhánh Sài Gòn (*)","Sacombank, Chi nhánh Sài Gòn (*)","Sacombank, Chi nhánh Sài Gòn (*)","Sacombank, Chi nhánh Sài Gòn (*)","Sacombank, Chi nhánh Sài Gòn (*)","Sacombank, Chi nhánh Sài Gòn (*)",,,,,
Khoản vay ngày 3 tháng 1 năm 2014,"Sacombank, Chi nhánh Sài Gòn (*) > Khoản vay ngày 3 tháng 1 năm 2014",Khoản vay ngày 3 tháng 1 năm 2014,262.454.605,-,Từ ngày 24 tháng 12 năm 2021 đến ngày 24 tháng 12 năm 2026,"Lãi suất tiết kiệm của Sacombank hạn 13 tháng lãi trả sau + 2,00%/năm được điều chỉnh 3 tháng/lần (2020: 9,80-9,90)","23,2 triệu cổ phiếu HAG sở hữu bởi Chủ tịch Đoàn Nguyên Đức và 14,5 triệu cổ phần của HAQM Việt Nam thuộc sở hữu của HNG.",262454605.0,,,,
TỔNG CỘNG,"Sacombank, Chi nhánh Sài Gòn (*) > TỔNG CỘNG",TỔNG CỘNG,985.259.912,,,,,985259912.0,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,861.460.373,,,,,861460373.0,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,123.799.539,,,,,123799539.0,,,,
"(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, diện tích trồng cây cao su thực tế tại các công ty con của Công ty là 2.429 ha đang thấp hơn cam kết trong Hợp đồng Tín dụng là 9.000 ha. Ngoài ra, Nhóm công ty chưa mua bảo hiểm cho tài sản đảm bảo theo như cam kết trong Hợp đồng Tín dụng.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, diện tích trồng cây cao su thực tế tại các công ty con của Công ty là 2.429 ha đang thấp hơn cam kết trong Hợp đồng Tín dụng là 9.000 ha. Ngoài ra, Nhóm công ty chưa mua bảo hiểm cho tài sản đảm bảo theo như cam kết trong Hợp đồng Tín dụng.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, diện tích trồng cây cao su thực tế tại các công ty con của Công ty là 2.429 ha đang thấp hơn cam kết trong Hợp đồng Tín dụng là 9.000 ha. Ngoài ra, Nhóm công ty chưa mua bảo hiểm cho tài sản đảm bảo theo như cam kết trong Hợp đồng Tín dụng.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, diện tích trồng cây cao su thực tế tại các công ty con của Công ty là 2.429 ha đang thấp hơn cam kết trong Hợp đồng Tín dụng là 9.000 ha. Ngoài ra, Nhóm công ty chưa mua bảo hiểm cho tài sản đảm bảo theo như cam kết trong Hợp đồng Tín dụng.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, diện tích trồng cây cao su thực tế tại các công ty con của Công ty là 2.429 ha đang thấp hơn cam kết trong Hợp đồng Tín dụng là 9.000 ha. Ngoài ra, Nhóm công ty chưa mua bảo hiểm cho tài sản đảm bảo theo như cam kết trong Hợp đồng Tín dụng.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, diện tích trồng cây cao su thực tế tại các công ty con của Công ty là 2.429 ha đang thấp hơn cam kết trong Hợp đồng Tín dụng là 9.000 ha. Ngoài ra, Nhóm công ty chưa mua bảo hiểm cho tài sản đảm bảo theo như cam kết trong Hợp đồng Tín dụng.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, diện tích trồng cây cao su thực tế tại các công ty con của Công ty là 2.429 ha đang thấp hơn cam kết trong Hợp đồng Tín dụng là 9.000 ha. Ngoài ra, Nhóm công ty chưa mua bảo hiểm cho tài sản đảm bảo theo như cam kết trong Hợp đồng Tín dụng.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, diện tích trồng cây cao su thực tế tại các công ty con của Công ty là 2.429 ha đang thấp hơn cam kết trong Hợp đồng Tín dụng là 9.000 ha. Ngoài ra, Nhóm công ty chưa mua bảo hiểm cho tài sản đảm bảo theo như cam kết trong Hợp đồng Tín dụng.",,,,,
