row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,,
HAQM Việt Nam (i),Tên công ty con > HAQM Việt Nam (i),HAQM Việt Nam (i),"Trồng cây công, nông nghiệp","100,00",3.365.986.867,-,"97,77",440.512.398,-,,100.0,3365986867.0,,97.77,440512398.0,
HA Attapeu,Tên công ty con > HA Attapeu,HA Attapeu,"Trồng cây công, nông nghiệp và xây dựng","100,00",2.101.029.560,-,"100,00",2.101.029.560,-,,100.0,2101029560.0,,100.0,2101029560.0,
HAQM Lào (ii),Tên công ty con > HAQM Lào (ii),HAQM Lào (ii),"Trồng cây công, nông nghiệp","100,00",1.081.159.132,-,-,-,-,,100.0,1081159132.0,,,,
HA Đắk Lắk (iii),Tên công ty con > HA Đắk Lắk (iii),HA Đắk Lắk (iii),"Trồng cây công, nông nghiệp","99,96",1.024.313.155,(178.158.008),"99,53",394.313.155,(80.077.772),,99.96,1024313155.0,-178158008.0,99.53,394313155.0,-80077772.0
HA Rattanakiri,Tên công ty con > HA Rattanakiri,HA Rattanakiri,Trồng cây công nghiệp,"100,00",943.987.719,-,"100,00",943.987.719,-,,100.0,943987719.0,,100.0,943987719.0,
Bò sữa Tây Nguyên (iv),Tên công ty con > Bò sữa Tây Nguyên (iv),Bò sữa Tây Nguyên (iv),Trồng cây nông nghiệp,"100,00",621.090.049,(427.195.658),"99,00",615.584.549,(371.226.441),,100.0,621090049.0,-427195658.0,99.0,615584549.0,-371226441.0
HA Oyadav (v),Tên công ty con > HA Oyadav (v),HA Oyadav (v),Trồng cây công nghiệp,"100,00",388.265.911,-,"100,00",222.893.439,-,,100.0,388265911.0,,100.0,222893439.0,
XNK HAGL,Tên công ty con > XNK HAGL,XNK HAGL,Thương mại,"100,00",100.000.000,(100.000.000),"100,00",100.000.000,(100.000.000),,100.0,100000000.0,-100000000.0,100.0,100000000.0,-100000000.0
Công ty Cổ phần An Đông Mia (“An Đông Mia”) (vi),Tên công ty con > Công ty Cổ phần An Đông Mia (“An Đông Mia”) (vi),Công ty Cổ phần An Đông Mia (“An Đông Mia”) (vi),Trồng cây công nghiệp,-,-,-,"99,90",882.881.000,-,,,,,99.9,882881000.0,
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,9.625.832.393,(705.353.666),,5.701.201.820,(551.304.213),,,9625832393.0,-705353666.0,,5701201820.0,-551304213.0
