row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải trả dài hạn khác (TM số 16),Phải trả dài hạn khác (TM số 16),Phải trả dài hạn khác (TM số 16),Phải trả dài hạn khác (TM số 16),Phải trả dài hạn khác (TM số 16),Phải trả dài hạn khác (TM số 16),Phải trả dài hạn khác (TM số 16),,,,
HA Oyadav,Phải trả dài hạn khác (TM số 16) > HA Oyadav,HA Oyadav,Công ty con,Cấn trừ công nợ,275.660.734,-,,,275660734.0,
HAQM Lào,Phải trả dài hạn khác (TM số 16) > HAQM Lào,HAQM Lào,Công ty con,Cấn trừ công nợ,90.012.570,-,,,90012570.0,
Heng Brothers,Phải trả dài hạn khác (TM số 16) > Heng Brothers,Heng Brothers,Công ty con,Cấn trừ công nợ,37.235.308,-,,,37235308.0,
HAG,Phải trả dài hạn khác (TM số 16) > HAG,HAG,Công ty mẹ,Cấn trừ công nợ,21.999.386,-,,,21999386.0,
XNK HAGL,Phải trả dài hạn khác (TM số 16) > XNK HAGL,XNK HAGL,Công ty con,Cấn trừ công nợ,-,754.133.163,,,,754133163.0
TỔNG CỘNG,Phải trả dài hạn khác (TM số 16) > TỔNG CỘNG,TỔNG CỘNG,,,424.907.998,754.133.163,,,424907998.0,754133163.0
Vay ngắn hạn (TM số 18.1),Vay ngắn hạn (TM số 18.1),Vay ngắn hạn (TM số 18.1),Vay ngắn hạn (TM số 18.1),Vay ngắn hạn (TM số 18.1),Vay ngắn hạn (TM số 18.1),Vay ngắn hạn (TM số 18.1),,,,
THAGRICO,Vay ngắn hạn (TM số 18.1) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay ngắn hạn,5.122.729.860,897.464.626,,,5122729860.0,897464626.0
HAG,Vay ngắn hạn (TM số 18.1) > HAG,HAG,Công ty mẹ,Vay ngắn hạn,35.485.456,1.877.207.456,,,35485456.0,1877207456.0
Bà Kiều Ngọc Hoa,Vay ngắn hạn (TM số 18.1) > Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,Cổ đông,Vay ngắn hạn,-,50.000.000,,,,50000000.0
TỔNG CỘNG,Vay ngắn hạn (TM số 18.1) > TỔNG CỘNG,TỔNG CỘNG,,,5.158.215.316,2.824.672.082,,,5158215316.0,2824672082.0
Vay dài hạn (TM số 18.6),Vay dài hạn (TM số 18.6),Vay dài hạn (TM số 18.6),Vay dài hạn (TM số 18.6),Vay dài hạn (TM số 18.6),Vay dài hạn (TM số 18.6),Vay dài hạn (TM số 18.6),,,,
HAG,Vay dài hạn (TM số 18.6) > HAG,HAG,Công ty mẹ,Vay dài hạn,2.001.191.815,-,,,2001191815.0,
THACO,Vay dài hạn (TM số 18.6) > THACO,THACO,Cổ đông lớn,Vay dài hạn,-,805.260.834,,,,805260834.0
TỔNG CỘNG,Vay dài hạn (TM số 18.6) > TỔNG CỘNG,TỔNG CỘNG,,,2.001.191.815,805.260.834,,,2001191815.0,805260834.0
