row_label_raw,row_label_full,Tên,Chức vụ,Ngàn VND,Ngàn VND_1,numeric__Chức vụ,numeric__Ngàn VND,numeric__Ngàn VND_1
Tên,Tên,Tên,Chức vụ,Thu nhập (*),Thu nhập (*),,,
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Hội đồng quản trị và Ban Tổng Giám đốc,Hội đồng quản trị và Ban Tổng Giám đốc,Hội đồng quản trị và Ban Tổng Giám đốc,Hội đồng quản trị và Ban Tổng Giám đốc,Hội đồng quản trị và Ban Tổng Giám đốc,Hội đồng quản trị và Ban Tổng Giám đốc,,,
Ông Đoàn Nguyên Đức,Hội đồng quản trị và Ban Tổng Giám đốc > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,156.000,156.000,,156000.0,156000.0
Ông Đỗ Xuân Diện,Hội đồng quản trị và Ban Tổng Giám đốc > Ông Đỗ Xuân Diện,Ông Đỗ Xuân Diện,Phó chủ tịch,144.000,96.000,,144000.0,96000.0
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên/Tổng Giám đốc,,,,,
,,,cho đến ngày 18 tháng 3 năm 2021,1.704.000,1.836.000,,1704000.0,1836000.0
Ông Nguyễn Quan Anh,Bà Võ Thị Mỹ Hạnh > Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Thành viên,120.000,120.000,,120000.0,120000.0
Ông Võ Trường Sơn,Bà Võ Thị Mỹ Hạnh > Ông Võ Trường Sơn,Ông Võ Trường Sơn,Thành viên,120.000,120.000,,120000.0,120000.0
Ông Trần Bảo Sơn,Bà Võ Thị Mỹ Hạnh > Ông Trần Bảo Sơn,Ông Trần Bảo Sơn,Thành viên/Tổng Giám đốc từ ngày 18 tháng 3 năm 2021,60.000,440.000,,60000.0,440000.0
,,,Thành viên/ Phó Tổng Giám Đốc,60.000,-,,60000.0,
Bà Võ Thị Huyền Lan,Bà Võ Thị Mỹ Hạnh > Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Thành viên,60.000,120.000,,60000.0,120000.0
