row_label_raw,row_label_full,Bên cho vay,Số cuối nămNgàn VND,Thời hạn thanh toán,Lãi suất%/năm,Mục đích vay,Tài sảnđảm bảo,numeric__Số cuối nămNgàn VND,numeric__Thời hạn thanh toán,numeric__Lãi suất%/năm,numeric__Mục đích vay,numeric__Tài sảnđảm bảo
"THAGRICO, công ty có cùng thành viên HĐQT","THAGRICO, công ty có cùng thành viên HĐQT","THAGRICO, công ty có cùng thành viên HĐQT","THAGRICO, công ty có cùng thành viên HĐQT","THAGRICO, công ty có cùng thành viên HĐQT","THAGRICO, công ty có cùng thành viên HĐQT","THAGRICO, công ty có cùng thành viên HĐQT","THAGRICO, công ty có cùng thành viên HĐQT",,,,,
Khoản vay ngày 1 tháng 6 năm 2020,"THAGRICO, công ty có cùng thành viên HĐQT > Khoản vay ngày 1 tháng 6 năm 2020",Khoản vay ngày 1 tháng 6 năm 2020,2.185.877.212,Từ ngày 26 tháng 8 năm2021 đến ngày ngày 29tháng 11 năm 2021,"10,50",Bổ sung vốn lưu động,Tín chấp,2185877212.0,,10.5,,
Khoản vay ngày 30 tháng 11 năm 2020,"THAGRICO, công ty có cùng thành viên HĐQT > Khoản vay ngày 30 tháng 11 năm 2020",Khoản vay ngày 30 tháng 11 năm 2020,1.918.905.885,Ngày 29 tháng 11 năm 2021,"10,50",Bổ sung vốn lưu động,Tín chấp,1918905885.0,,10.5,,
Khoản vay ngày 1 tháng 6 năm 2020,"THAGRICO, công ty có cùng thành viên HĐQT > Khoản vay ngày 1 tháng 6 năm 2020",Khoản vay ngày 1 tháng 6 năm 2020,563.000.000,Ngày 31 tháng 5 năm 2021,"10,50",Đầu tư trồng mới 7.000 ha chuốitại Lào và Campuchia,Tín chấp,563000000.0,,10.5,,
Khoản vay ngày 23 tháng 11 năm 2020,"THAGRICO, công ty có cùng thành viên HĐQT > Khoản vay ngày 23 tháng 11 năm 2020",Khoản vay ngày 23 tháng 11 năm 2020,309.354.000,Ngày 5 tháng 3 năm 2021,"7,00",Bổ sung vốn lưu động,Tín chấp,309354000.0,,7.0,,
Khoản vay ngày 30 tháng 11 năm 2020,"THAGRICO, công ty có cùng thành viên HĐQT > Khoản vay ngày 30 tháng 11 năm 2020",Khoản vay ngày 30 tháng 11 năm 2020,98.042.763,Ngày 29 tháng 11 năm 2021,"10,50",Bổ sung vốn lưu động,Tín chấp,98042763.0,,10.5,,
Khoản vay ngày 30 tháng 11 năm 2020,"THAGRICO, công ty có cùng thành viên HĐQT > Khoản vay ngày 30 tháng 11 năm 2020",Khoản vay ngày 30 tháng 11 năm 2020,47.550.000,Ngày 10 tháng 2 năm 2021,"7,00",Bổ sung vốn lưu động,Tín chấp,47550000.0,,7.0,,
,,,5.122.729.860,,,,,5122729860.0,,,,
"Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ","Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ","Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ","Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ","Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ","Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ","Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ","Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ",,,,,
Khoản vay ngày 19 tháng 7 năm 2019 (*),"Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ > Khoản vay ngày 19 tháng 7 năm 2019 (*)",Khoản vay ngày 19 tháng 7 năm 2019 (*),35.485.456,Ngày 19 tháng 7 năm 2020,"10,00",Bổ sung vốn lưu động,Tín chấp,35485456.0,,10.0,,
TỔNG CỘNG,"Công ty Cổ phần Hoàng Anh Gia Lai (“HAG”), công ty mẹ > TỔNG CỘNG",TỔNG CỘNG,5.158.215.316,,,,,5158215316.0,,,,
"(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, Công ty chưa thanh toán khoản vay đến hạn theo lịch thanh toán trênvới tổng số tiền là 35.485.456 ngân VND.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, Công ty chưa thanh toán khoản vay đến hạn theo lịch thanh toán trênvới tổng số tiền là 35.485.456 ngân VND.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, Công ty chưa thanh toán khoản vay đến hạn theo lịch thanh toán trênvới tổng số tiền là 35.485.456 ngân VND.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, Công ty chưa thanh toán khoản vay đến hạn theo lịch thanh toán trênvới tổng số tiền là 35.485.456 ngân VND.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, Công ty chưa thanh toán khoản vay đến hạn theo lịch thanh toán trênvới tổng số tiền là 35.485.456 ngân VND.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, Công ty chưa thanh toán khoản vay đến hạn theo lịch thanh toán trênvới tổng số tiền là 35.485.456 ngân VND.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, Công ty chưa thanh toán khoản vay đến hạn theo lịch thanh toán trênvới tổng số tiền là 35.485.456 ngân VND.","(*) Vào ngày 31 tháng 12 năm 2020 và vào ngày lập báo cáo tài chính tổng hợp này, Công ty chưa thanh toán khoản vay đến hạn theo lịch thanh toán trênvới tổng số tiền là 35.485.456 ngân VND.",,,,,
