row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán ngắn hạn (TM số 13),Phải trả người bán ngắn hạn (TM số 13),Phải trả người bán ngắn hạn (TM số 13),Phải trả người bán ngắn hạn (TM số 13),Phải trả người bán ngắn hạn (TM số 13),Phải trả người bán ngắn hạn (TM số 13),Phải trả người bán ngắn hạn (TM số 13),,,,
THAGRICO,Phải trả người bán ngắn hạn (TM số 13) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mua hàng hóa và vật tư,288.482.220,186.130.214,,,288482220.0,186130214.0
Công ty TNHH Giao nhận Vận chuyển Quốc tế Trường Hải,Phải trả người bán ngắn hạn (TM số 13) > Công ty TNHH Giao nhận Vận chuyển Quốc tế Trường Hải,Công ty TNHH Giao nhận Vận chuyển Quốc tế Trường Hải,Công ty có cùng thành viên HĐQT,Mua dịch vụ,100.834.613,-,,,100834613.0,
Gỗ HAGL,Phải trả người bán ngắn hạn (TM số 13) > Gỗ HAGL,Gỗ HAGL,Công ty có cùng thành viên HĐQT,Mua hàng hóa,78.846.438,29.388,,,78846438.0,29388.0
Công ty TNHH Thương Mại Đầu tư Phát triển Do Holdings,Phải trả người bán ngắn hạn (TM số 13) > Công ty TNHH Thương Mại Đầu tư Phát triển Do Holdings,Công ty TNHH Thương Mại Đầu tư Phát triển Do Holdings,Công ty có cùng thành viên HĐQT,Mua hàng hóa,28.686.188,-,,,28686188.0,
Chi nhánh Chế Biến Hoa Quả - Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 13) > Chi nhánh Chế Biến Hoa Quả - Công ty Cổ phần Hoàng Anh Gia Lai,Chi nhánh Chế Biến Hoa Quả - Công ty Cổ phần Hoàng Anh Gia Lai,Bên liên quan,Mua hàng hóa,26.283.627,-,,,26283627.0,
Chi nhánh Cơ khí - Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 13) > Chi nhánh Cơ khí - Công ty Cổ phần Hoàng Anh Gia Lai,Chi nhánh Cơ khí - Công ty Cổ phần Hoàng Anh Gia Lai,Bên liên quan,Mua hàng hóa,14.657.067,-,,,14657067.0,
HA Oyadav,Phải trả người bán ngắn hạn (TM số 13) > HA Oyadav,HA Oyadav,Công ty con,Mua hàng hóa,12.794.233,9.043.648,,,12794233.0,9043648.0
Chi nhánh Nguyên Vật Liệu - Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 13) > Chi nhánh Nguyên Vật Liệu - Công ty Cổ phần Hoàng Anh Gia Lai,Chi nhánh Nguyên Vật Liệu - Công ty Cổ phần Hoàng Anh Gia Lai,Bên liên quan,Mua hàng hóa,10.747.148,-,,,10747148.0,
Cơ Khí Chu Lai,Phải trả người bán ngắn hạn (TM số 13) > Cơ Khí Chu Lai,Cơ Khí Chu Lai,Công ty có cùng thành viên HĐQT,Mua vật tư,10.202.681,18.284.792,,,10202681.0,18284792.0
Công ty TNHH Phân phối Ô tô Tài - Bus Trường Hải,Phải trả người bán ngắn hạn (TM số 13) > Công ty TNHH Phân phối Ô tô Tài - Bus Trường Hải,Công ty TNHH Phân phối Ô tô Tài - Bus Trường Hải,Công ty có cùng thành viên HĐQT,Mua tài sản,1.994.000,1.994.000,,,1994000.0,1994000.0
CRD,Phải trả người bán ngắn hạn (TM số 13) > CRD,CRD,Công ty con,Mua hàng hóa,1.715.132,-,,,1715132.0,
Chi nhánh Khách sạn - Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 13) > Chi nhánh Khách sạn - Công ty Cổ phần Hoàng Anh Gia Lai,Chi nhánh Khách sạn - Công ty Cổ phần Hoàng Anh Gia Lai,Bên liên quan,Mua hàng hóa,1.354.368,-,,,1354368.0,
