row_label_raw,row_label_full,col_0,"Phương tiện vântài, truyền dẫnVND",TSCĐ dùngtrong quản lýVND,TSCĐ hữu hìnhkhácVND,CộngVND,"numeric__Phương tiện vântài, truyền dẫnVND",numeric__TSCĐ dùngtrong quản lýVND,numeric__TSCĐ hữu hìnhkhácVND,numeric__CộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.448.329.091,979.334.974,72.495.900,5.500.159.965,4448329091.0,979334974.0,72495900.0,5500159965.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.020.000.000),-,-,(1.020.000.000),-1020000000.0,,,-1020000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.428.329.091,979.334.974,72.495.900,4.480.159.965,3428329091.0,979334974.0,72495900.0,4480159965.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.742.808.779,915.231.304,72.495.900,3.730.535.983,2742808779.0,915231304.0,72495900.0,3730535983.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,426.999.601,-,-,426.999.601,426999601.0,,,426999601.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.020.000.000),-,-,(1.020.000.000),-1020000000.0,,,-1020000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.149.808.380,915.231.304,72.495.900,3.137.535.584,2149808380.0,915231304.0,72495900.0,3137535584.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.705.520.312,64.103.670,-,1.769.623.982,1705520312.0,64103670.0,,1769623982.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.278.520.711,64.103.670,-,1.342.624.381,1278520711.0,64103670.0,,1342624381.0
