row_label_raw,row_label_full,33,1. Tiền thu từ đi vay,col_2,-,12.313.003.073,numeric__1. Tiền thu từ đi vay,numeric__col_2,numeric__-,numeric__12.313.003.073
34,34,34,2. Tiền trả nợ gốc vay,,(292.500.000.000),-,,,-292500000000.0,
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(292.500.000.000),12.313.003.073,,,-292500000000.0,12313003073.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(71.382.697.259),128.063.886.803,,,-71382697259.0,128063886803.0
60,60,60,Tiền và tương đương tiền đầu năm,,144.361.672.505,16.297.785.702,,,144361672505.0,16297785702.0
70,70,70,Tiền và tương đương tiền cuối năm,03,72.978.975.246,144.361.672.505,,3.0,72978975246.0,144361672505.0
