row_label_raw,row_label_full,col_0,Hoạt động kinh doanh bắt động sản,Hoạt động thương mại dịch vụ,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động kinh doanh bắt động sản,numeric__Hoạt động thương mại dịch vụ,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,88.237.183.136,11.100.615.455,99.337.798.591,88237183136.0,11100615455.0,99337798591.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,5.675.805.715,3.834.951.802,9.510.757.517,5675805715.0,3834951802.0,9510757517.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,1.518.560.964.063,123.267.116.600,1.641.828.080.663,1518560964063.0,123267116600.0,1641828080663.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,497.749.969.964,,,497749969964.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.518.560.964.063,123.267.116.600,2.139.578.050.627,1518560964063.0,123267116600.0,2139578050627.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,1.171.686.416.479,17.458.901.624,1.189.145.318.103,1171686416479.0,17458901624.0,1189145318103.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,623.680.671.670,,,623680671670.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,1.171.686.416.479,17.458.901.624,1.812.825.989.773,1171686416479.0,17458901624.0,1812825989773.0
