row_label_raw,row_label_full,STT,Tên,Mối quan hệ,numeric__Tên,numeric__Mối quan hệ
1,1,1,Ông Nguyễn Văn Đạt,Chủ tịch HĐQT,,
2,2,2,Ông Nguyễn Tấn Danh,Phó Chủ tịch HĐQT,,
3,3,3,Ông Bùi Quang Anh Vũ,Thành viên HĐQT kiểm Tổng Giám đốc,,
4,4,4,Ông Lê Quang Phúc,Thành viên HĐQT,,
5,5,5,Ông Vũ Thành Lê,Thành viên độc lập HĐQT từ ngày 27/06/2025,,
6,6,6,Ông Trần Trọng Gia Vinh,Thành viên độc lập HĐQT,,
7,7,7,Ông Dương Hảo Tôn,Thành viên độc lập HĐQT kiểm Chủ tịch Ủy ban kiểm toán,,
8,8,8,Ông Nguyễn Đình Trí,Phó Tổng Giám đốc,,
9,9,9,Ông Trường Ngọc Dũng,Phó Tổng Giám đốc,,
10,10,10,Ông Nguyễn Khắc Sinh,Phó Tổng Giám đốc,,
11,11,11,Bà Trần Thị Thùy Trang,Kế toán Trường,,
12,12,12,Ông Phan Lê Hòa,Phó Tổng Giám đốc từ nhiệm từ ngày 23/01/2025,,
13,13,13,Ông Nguyễn Hữu,Phó Tổng Giám đốc từ ngày 22/01/2025,,
14,14,14,Bà Đặng Việt Tú Uyên,Phó Tổng Giám đốc từ ngày 22/01/2025,,
15,15,15,Ông Nguyễn Văn Quang,Phó Ban Kiểm toán nội bộ,,
16,16,16,Bà Nguyễn Tôn Quỳnh Vy,Người Phụ trách Quản trị Công ty,,
17,17,17,Công ty TNHH Đầu tư Xây dựng Công trình PDP,Công ty liên kết,,
18,18,18,Công ty Cổ phần Bất động sản Commonwealth Properties,Công ty liên kết,,
19,19,19,Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1,Công ty liên kết từ ngày 09/09/2025,,
20,20,20,Công ty Cổ phần Phát triển Đô thị Tam Hiệp,Công ty liên kết từ ngày 19/12/2025,,
21,21,21,Công ty Cổ phần Khu đô thị mới Đồng Nai Riverside,Công ty liên kết từ ngày 19/12/2025,,
22,22,22,"Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN (""AKYN"")",Bên liên quan của Phó Chủ tịch HĐQT,,
23,23,23,Công ty Cổ phần Tư vấn Quản lý BDSC,Bên liên quan của Thành viên HĐQT,,
24,24,24,Công ty TNHH Tư vấn Giải pháp Bền Vũng,Bên liên quan của Thành viên HĐQT,,
25,25,25,Công ty Cổ phần Khu du lịch Nghị dưỡng A,Bên liên quan của Phó Chủ tịch HĐQT,,
26,26,26,Ông Nguyễn Văn Dũng,Bên liên quan của Chủ tịch HĐQT,,
27,27,27,Ông Nguyễn Văn Tuấn,Bên liên quan của Chủ tịch HĐQT,,
28,28,28,Ông Nguyễn Văn Phát,Bên liên quan của Chủ tịch HĐQT,,
29,29,29,Ông Phan Gia Bình,Bên liên quan của Chủ tịch HĐQT,,
30,30,30,Ông Nguyễn Văn Hoàng,Bên liên quan của Chủ tịch HĐQT,,
31,31,31,Bà Nguyễn Thị Minh Thư,Bên liên quan của Chủ tịch HĐQT,,
