row_label_raw,row_label_full,col_0,Năm 2025VND,Năm 2024VND,numeric__Năm 2025VND,numeric__Năm 2024VND
Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1,Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1,Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1,Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1,Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1,,
Nhận tiền đặt cọc mua cổ phần,Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1 > Nhận tiền đặt cọc mua cổ phần,Nhận tiền đặt cọc mua cổ phần,214.525.175.643,-,214525175643.0,
Góp vốn,Công ty TNHH Đầu tư Bất động sản Cao tầng Thuận An 1 > Góp vốn,Góp vốn,43.152.535.128,-,43152535128.0,
Công ty Cổ phần Đầu tư Bất động sản BiDiCi,Công ty Cổ phần Đầu tư Bất động sản BiDiCi,Công ty Cổ phần Đầu tư Bất động sản BiDiCi,Công ty Cổ phần Đầu tư Bất động sản BiDiCi,Công ty Cổ phần Đầu tư Bất động sản BiDiCi,,
Thoái vốn do chuyển nhượng cổ phần,Công ty Cổ phần Đầu tư Bất động sản BiDiCi > Thoái vốn do chuyển nhượng cổ phần,Thoái vốn do chuyển nhượng cổ phần,-,1.117.200.000.000,,1117200000000.0
Hoàn tiền mượn bằng hình thức cán trừ công nợ,Công ty Cổ phần Đầu tư Bất động sản BiDiCi > Hoàn tiền mượn bằng hình thức cán trừ công nợ,Hoàn tiền mượn bằng hình thức cán trừ công nợ,-,781.780.000.000,,781780000000.0
Công ty Cổ phần Phát triển Đô Thị Tam Hiệp,Công ty Cổ phần Phát triển Đô Thị Tam Hiệp,Công ty Cổ phần Phát triển Đô Thị Tam Hiệp,Công ty Cổ phần Phát triển Đô Thị Tam Hiệp,Công ty Cổ phần Phát triển Đô Thị Tam Hiệp,,
Góp vốn,Công ty Cổ phần Phát triển Đô Thị Tam Hiệp > Góp vốn,Góp vốn,346.438.750.000,-,346438750000.0,
Vay tiền,Công ty Cổ phần Phát triển Đô Thị Tam Hiệp > Vay tiền,Vay tiền,138.480.000.000,-,138480000000.0,
Hoàn trả tiền vay,Công ty Cổ phần Phát triển Đô Thị Tam Hiệp > Hoàn trả tiền vay,Hoàn trả tiền vay,10.000.000.000,-,10000000000.0,
Công ty Cổ phần Khu Đô Thị Mới Đồng Nai Riverside,Công ty Cổ phần Khu Đô Thị Mới Đồng Nai Riverside,Công ty Cổ phần Khu Đô Thị Mới Đồng Nai Riverside,Công ty Cổ phần Khu Đô Thị Mới Đồng Nai Riverside,Công ty Cổ phần Khu Đô Thị Mới Đồng Nai Riverside,,
Góp vốn,Công ty Cổ phần Khu Đô Thị Mới Đồng Nai Riverside > Góp vốn,Góp vốn,295.789.270.000,-,295789270000.0,
Vay tiền,Công ty Cổ phần Khu Đô Thị Mới Đồng Nai Riverside > Vay tiền,Vay tiền,160.522.571.510,-,160522571510.0,
Hoàn trả tiền vay,Công ty Cổ phần Khu Đô Thị Mới Đồng Nai Riverside > Hoàn trả tiền vay,Hoàn trả tiền vay,10.000.000.000,-,10000000000.0,
Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN,Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN,Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN,Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN,Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN,,
Trá gốc vay,Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN > Trá gốc vay,Trá gốc vay,88.716.773.798,-,88716773798.0,
Lãi tiền vay,Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN > Lãi tiền vay,Lãi tiền vay,24.456.993.946,42.611.689.974,24456993946.0,42611689974.0
Trả lãi vay,Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN > Trả lãi vay,Trả lãi vay,29.137.744.202,68.023.568.000,29137744202.0,68023568000.0
Công ty Cổ phần Khu du lịch Nghị Dương A,Công ty Cổ phần Khu du lịch Nghị Dương A,Công ty Cổ phần Khu du lịch Nghị Dương A,Công ty Cổ phần Khu du lịch Nghị Dương A,Công ty Cổ phần Khu du lịch Nghị Dương A,,
Sử dụng dịch vụ,Công ty Cổ phần Khu du lịch Nghị Dương A > Sử dụng dịch vụ,Sử dụng dịch vụ,1.445.993.304,354.425.742,1445993304.0,354425742.0
Công ty TNHH Tư vấn Giải pháp Bền Vũng,Công ty TNHH Tư vấn Giải pháp Bền Vũng,Công ty TNHH Tư vấn Giải pháp Bền Vũng,Công ty TNHH Tư vấn Giải pháp Bền Vũng,Công ty TNHH Tư vấn Giải pháp Bền Vũng,,
Chỉ phí bồi thường hợp đồng,Công ty TNHH Tư vấn Giải pháp Bền Vũng > Chỉ phí bồi thường hợp đồng,Chỉ phí bồi thường hợp đồng,475.000.000,-,475000000.0,
Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,,
Chuyển nhượng bất động sản,Ông Lê Quang Phúc > Chuyển nhượng bất động sản,Chuyển nhượng bất động sản,30.710.600.501,2.110.701.065,30710600501.0,2110701065.0
Thu tiền chuyển nhượng bất động sản,Ông Lê Quang Phúc > Thu tiền chuyển nhượng bất động sản,Thu tiền chuyển nhượng bất động sản,9.506.777.798,1.600.000.000,9506777798.0,1600000000.0
Thu tiền mua cổ phiếu,Ông Lê Quang Phúc > Thu tiền mua cổ phiếu,Thu tiền mua cổ phiếu,3.010.000.000,-,3010000000.0,
Nhận tiền trước từ chuyển nhượng bất động sản,Ông Lê Quang Phúc > Nhận tiền trước từ chuyển nhượng bất động sản,Nhận tiền trước từ chuyển nhượng bất động sản,-,8.572.315.000,,8572315000.0
Hoàn tiền đặt cọc,Ông Lê Quang Phúc > Hoàn tiền đặt cọc,Hoàn tiền đặt cọc,-,400.000.000,,400000000.0
Lãi từ đặt cọc,Ông Lê Quang Phúc > Lãi từ đặt cọc,Lãi từ đặt cọc,-,182.663.014,,182663014.0
Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,,
Chuyển nhượng bất động sản,Ông Trần Trọng Gia Vinh > Chuyển nhượng bất động sản,Chuyển nhượng bất động sản,-,6.332.103.195,,6332103195.0
Thu tiền chuyển nhượng bất động sản,Ông Trần Trọng Gia Vinh > Thu tiền chuyển nhượng bất động sản,Thu tiền chuyển nhượng bất động sản,-,5.000.000.000,,5000000000.0
Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,,
Chuyển nhượng bất động sản,Ông Nguyễn Văn Tuấn > Chuyển nhượng bất động sản,Chuyển nhượng bất động sản,-,6.332.103.195,,6332103195.0
Thu tiền chuyển nhượng bất động sản,Ông Nguyễn Văn Tuấn > Thu tiền chuyển nhượng bất động sản,Thu tiền chuyển nhượng bất động sản,-,5.000.000.000,,5000000000.0
