row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Việt Nam Thịnh vựng > Khoản vay 1 > Khoản vay 2,Số cuối năm VND > Ngân hàng TMCP Việt Nam Thịnh vựng > 200.000.000.000 > 59.285.666.529,Số đầu năm VND > Ngân hàng TMCP Việt Nam Thịnh vựng > -,Kỳ hạn trả gốc > Ngân hàng TMCP Việt Nam Thịnh vựng > Từ ngày 27 tháng 11 năm 2026 đến ngày 27 tháng 8 năm 2032 > Từ ngày 28 tháng 8 năm 2026 đến ngày 10 tháng 11 năm 2026,"Mục đích > Ngân hàng TMCP Việt Nam Thịnh vựng > Vay bù đắp mua 2 tài sản tại 61 Cao Thắng, Phường Bản Cờ, Thành phố Hồ Chí Minh và 41- 43 Nguyễn Trãi, Phường Chợ Quán, Thành phố Hồ Chí Minh > Bổ sung vốn lưu động","Lãi suất %/năm > Ngân hàng TMCP Việt Nam Thịnh vựng > Lãi suất được điều chỉnh 3 tháng/lần bằng lãi suất bán vốn của ngân hàng kỳ hạn 5-10 năm + biên độ 3%/năm > Lãi suất từ 10,3% đến 10,7%","Hình thức đảm bảo > Ngân hàng TMCP Việt Nam Thịnh vựng > Các quyền sử dụng đất thuộc sở hữu của bên thứ ba tại Phường Phú Dầu Một, Phường Chánh Hiệp, Phường Phú Lợi, Thành phố Hồ Chí Minh",numeric__Số cuối năm VND > Ngân hàng TMCP Việt Nam Thịnh vựng > 200.000.000.000 > 59.285.666.529,numeric__Số đầu năm VND > Ngân hàng TMCP Việt Nam Thịnh vựng > -,numeric__Kỳ hạn trả gốc > Ngân hàng TMCP Việt Nam Thịnh vựng > Từ ngày 27 tháng 11 năm 2026 đến ngày 27 tháng 8 năm 2032 > Từ ngày 28 tháng 8 năm 2026 đến ngày 10 tháng 11 năm 2026,"numeric__Mục đích > Ngân hàng TMCP Việt Nam Thịnh vựng > Vay bù đắp mua 2 tài sản tại 61 Cao Thắng, Phường Bản Cờ, Thành phố Hồ Chí Minh và 41- 43 Nguyễn Trãi, Phường Chợ Quán, Thành phố Hồ Chí Minh > Bổ sung vốn lưu động","numeric__Lãi suất %/năm > Ngân hàng TMCP Việt Nam Thịnh vựng > Lãi suất được điều chỉnh 3 tháng/lần bằng lãi suất bán vốn của ngân hàng kỳ hạn 5-10 năm + biên độ 3%/năm > Lãi suất từ 10,3% đến 10,7%","numeric__Hình thức đảm bảo > Ngân hàng TMCP Việt Nam Thịnh vựng > Các quyền sử dụng đất thuộc sở hữu của bên thứ ba tại Phường Phú Dầu Một, Phường Chánh Hiệp, Phường Phú Lợi, Thành phố Hồ Chí Minh"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.026.843.475.343,3.914.445.488.511,,,,,5026843475343.0,3914445488511.0,,,,
Trong đó:- Ngắn hạn- Dải hạn,Trong đó:- Ngắn hạn- Dải hạn,Trong đó:- Ngắn hạn- Dải hạn,925.136.070.4244.101.707.404.919,386.195.295.2673.528.250.193.244,,,,,9.251360704244101e+24,3.861952952673528e+24,,,,
