row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,CộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại 01/01/2025,NGUYÊN GIÁ > Tại 01/01/2025,Tại 01/01/2025,400.500.000.000,15.006.259.881,415.506.259.881,400500000000.0,15006259881.0,415506259881.0
Tại 31/12/2025,NGUYÊN GIÁ > Tại 31/12/2025,Tại 31/12/2025,400.500.000.000,15.006.259.881,415.506.259.881,400500000000.0,15006259881.0,415506259881.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,
01/01/2025,GIÁ TRỊ HAO MÒN > 01/01/2025,01/01/2025,-,(14.846.354.087),(14.846.354.087),,-14846354087.0,-14846354087.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,-,(159.905.794),(159.905.794),,-159905794.0,-159905794.0
Tại 31/12/2025,GIÁ TRỊ HAO MÒN > Tại 31/12/2025,Tại 31/12/2025,-,(15.006.259.881),(15.006.259.881),,-15006259881.0,-15006259881.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,400.500.000.000,159.905.794,400.659.905.794,400500000000.0,159905794.0,400659905794.0
Tại 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại 31/12/2025,Tại 31/12/2025,400.500.000.000,-,400.500.000.000,400500000000.0,,400500000000.0
