row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Tại 31/12/2025VND,Tại 01/01/2025VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tại 31/12/2025VND,numeric__Tại 01/01/2025VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,14.846.308.044.248,12.927.043.152.194,300.0,,14846308044248.0,12927043152194.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,10.257.721.641.617,8.562.372.240.181,310.0,,10257721641617.0,8562372240181.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,16,164.133.084.069,348.223.190.575,311.0,16.0,164133084069.0,348223190575.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,17,237.657.191.736,133.538.017.065,312.0,17.0,237657191736.0,133538017065.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,18,197.025.332.336,467.801.792.124,313.0,18.0,197025332336.0,467801792124.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,9.085.078.903,9.651.285.511,314.0,,9085078903.0,9651285511.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,19,335.734.960.857,467.024.125.581,315.0,19.0,335734960857.0,467024125581.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,20,8.176.960.740.485,5.721.587.155.285,319.0,20.0,8176960740485.0,5721587155285.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,21,1.106.136.070.424,1.382.725.295.267,320.0,21.0,1106136070424.0,1382725295267.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,30.989.182.807,31.821.378.773,322.0,,30989182807.0,31821378773.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,4.588.586.402.631,4.364.670.912.013,330.0,,4588586402631.0,4364670912013.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,20,150.530.671.510,404.031.164.675,337.0,20.0,150530671510.0,404031164675.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,21,4.438.055.731.121,3.960.639.747.338,338.0,21.0,4438055731121.0,3960639747338.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,22,12.423.938.520.507,11.058.508.658.990,400.0,22.0,12423938520507.0,11058508658990.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,12.423.938.520.507,11.058.508.658.990,410.0,,12423938520507.0,11058508658990.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,9.978.093.790.000,8.731.400.830.000,411.0,,9978093790000.0,8731400830000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,9.978.093.790.000,8.731.400.830.000,,,9978093790000.0,8731400830000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,410.424.800.000,70.474.800.000,412.0,,410424800000.0,70474800000.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,248.462.645.103,243.810.014.529,418.0,,248462645103.0,243810014529.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,1.736.087.533.354,1.954.616.001.307,421.0,,1736087533354.0,1954616001307.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,1.226.168.324.811,1.801.080.152.703,,,1226168324811.0,1801080152703.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,509.919.208.543,153.535.848.604,,,509919208543.0,153535848604.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,50.869.752.050,58.207.013.154,429.0,,50869752050.0,58207013154.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,27.270.246.564.755,23.985.551.811.184,440.0,,27270246564755.0,23985551811184.0
