row_label_raw,row_label_full,col_0,Tại 31/12/2025 > Giá trị VND,Tại 31/12/2025 > Dự phòng VND,Tại 01/01/2025 > Giá trị VND,Tại 01/01/2025 > Dự phòng VND,numeric__Tại 31/12/2025 > Giá trị VND,numeric__Tại 31/12/2025 > Dự phòng VND,numeric__Tại 01/01/2025 > Giá trị VND,numeric__Tại 01/01/2025 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,4.080.107.332.835,-,3.060.448.061.894,-,4080107332835.0,,3060448061894.0,
Trả trước cho các cá nhân đề nhận chuyển nhượng vốn và dự án,Trả trước cho các cá nhân đề nhận chuyển nhượng vốn và dự án,Trả trước cho các cá nhân đề nhận chuyển nhượng vốn và dự án,521.254.951.040,-,775.229.830.000,-,521254951040.0,,775229830000.0,
- Bà Nguyễn Thị Xuân Diễm (i),- Bà Nguyễn Thị Xuân Diễm (i),- Bà Nguyễn Thị Xuân Diễm (i),300.000.000.000,-,300.000.000.000,-,300000000000.0,,300000000000.0,
- Bà Nguyễn Thị Phương Thảo,- Bà Nguyễn Thị Phương Thảo,- Bà Nguyễn Thị Phương Thảo,-,-,160.000.000.000,-,,,160000000000.0,
- Ông Võ Ngọc Châu (ii),- Ông Võ Ngọc Châu (ii),- Ông Võ Ngọc Châu (ii),170.254.951.040,-,159.729.830.000,-,170254951040.0,,159729830000.0,
- Bà Trần Thị Hường,- Bà Trần Thị Hường,- Bà Trần Thị Hường,-,-,104.500.000.000,-,,,104500000000.0,
- Ông Nguyễn Cao Tiến (iii),- Ông Nguyễn Cao Tiến (iii),- Ông Nguyễn Cao Tiến (iii),51.000.000.000,-,51.000.000.000,-,51000000000.0,,51000000000.0,
Trả trước cho các nhà thầu xây dựng,Trả trước cho các nhà thầu xây dựng,Trả trước cho các nhà thầu xây dựng,2.548.827.312.080,-,2.026.588.996.641,-,2548827312080.0,,2026588996641.0,
- Công ty CP Đầu tư và Phát triển hạ tầng 620,- Công ty CP Đầu tư và Phát triển hạ tầng 620,- Công ty CP Đầu tư và Phát triển hạ tầng 620,311.096.224.819,-,1.450.055.500.031,-,311096224819.0,,1450055500031.0,
- Công ty CP Đầu Tư Phát Triển xây dựng 168,- Công ty CP Đầu Tư Phát Triển xây dựng 168,- Công ty CP Đầu Tư Phát Triển xây dựng 168,801.564.616.581,-,-,-,801564616581.0,,,
- Công ty cổ phần Kinh doanh và Dịch vụ BDS Sài Gòn,- Công ty cổ phần Kinh doanh và Dịch vụ BDS Sài Gòn,- Công ty cổ phần Kinh doanh và Dịch vụ BDS Sài Gòn,643.103.500.000,-,-,-,643103500000.0,,,
- Liên danh Công ty Cổ phần Đầu tư và Phát triển Hạ tầng 620 và Công ty Cổ phần Xây dựng và Đầu Tư Lộc Phát,- Liên danh Công ty Cổ phần Đầu tư và Phát triển Hạ tầng 620 và Công ty Cổ phần Xây dựng và Đầu Tư Lộc Phát,- Liên danh Công ty Cổ phần Đầu tư và Phát triển Hạ tầng 620 và Công ty Cổ phần Xây dựng và Đầu Tư Lộc Phát,293.583.363.579,-,124.771.856.489,-,293583363579.0,,124771856489.0,
- Công ty CP Xây dựng và Đầu Tư Lộc Phát,- Công ty CP Xây dựng và Đầu Tư Lộc Phát,- Công ty CP Xây dựng và Đầu Tư Lộc Phát,320.598.936.192,-,155.760.070.062,-,320598936192.0,,155760070062.0,
- Công ty TNHH Đầu tư Bất Động sản Green City,- Công ty TNHH Đầu tư Bất Động sản Green City,- Công ty TNHH Đầu tư Bất Động sản Green City,-,-,100.000.000.000,-,,,100000000000.0,
- Công ty TNHH Xây dựng Thương Maji Dịch Vụ Hợp Nhứt,- Công ty TNHH Xây dựng Thương Maji Dịch Vụ Hợp Nhứt,- Công ty TNHH Xây dựng Thương Maji Dịch Vụ Hợp Nhứt,50.390.721.493,-,69.701.323.129,-,50390721493.0,,69701323129.0,
- Công ty CP Xây dựng TC Bình Định,- Công ty CP Xây dựng TC Bình Định,- Công ty CP Xây dựng TC Bình Định,89.035.287.780,-,82.845.585.294,-,89035287780.0,,82845585294.0,
- Công ty TNHH TM DV VT XD Giao thông T&T,- Công ty TNHH TM DV VT XD Giao thông T&T,- Công ty TNHH TM DV VT XD Giao thông T&T,39.454.661.636,-,39.454.661.636,-,39454661636.0,,39454661636.0,
- Công ty Cổ phần Xây dựng Central,- Công ty Cổ phần Xây dựng Central,- Công ty Cổ phần Xây dựng Central,-,-,4.000.000.000,-,,,4000000000.0,
