row_label_raw,row_label_full,col_0,Tại 31/12/2025,Tại 31/12/2025_1,Tại 01/01/2025,Tại 01/01/2025_1,numeric__Tại 31/12/2025,numeric__Tại 31/12/2025_1,numeric__Tại 01/01/2025,numeric__Tại 01/01/2025_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,15.713.126.051.904,-,14.077.280.272.782,-,15713126051904.0,,14077280272782.0,
- Dự án The Everich 2 (i),- Dự án The Everich 2 (i),- Dự án The Everich 2 (i),5.974.664.929.804,-,3.597.838.254.668,-,5974664929804.0,,3597838254668.0,
- Dự án Thuận An 1 và Thuận An 2 (ii),- Dự án Thuận An 1 và Thuận An 2 (ii),- Dự án Thuận An 1 và Thuận An 2 (ii),3.294.230.994.820,-,2.663.629.246.786,-,3294230994820.0,,2663629246786.0,
- Dự án Tropicana Bến Thành Long Hải (iii),- Dự án Tropicana Bến Thành Long Hải (iii),- Dự án Tropicana Bến Thành Long Hải (iii),1.994.541.168.359,-,1.993.999.668.359,-,1994541168359.0,,1993999668359.0,
- Dự án Phước Hải Senerity (iv),- Dự án Phước Hải Senerity (iv),- Dự án Phước Hải Senerity (iv),1.523.555.164.637,-,1.524.638.841.460,-,1523555164637.0,,1524638841460.0,
- Dự án Khu dân cư kết hợp chính trang đô thị Bắc Hà Thanh (v),- Dự án Khu dân cư kết hợp chính trang đô thị Bắc Hà Thanh (v),- Dự án Khu dân cư kết hợp chính trang đô thị Bắc Hà Thanh (v),1.339.337.957.742,-,1.694.508.092.077,-,1339337957742.0,,1694508092077.0,
- Dự án The Everich 3 (vi),- Dự án The Everich 3 (vi),- Dự án The Everich 3 (vi),880.390.631.916,-,877.427.668.950,-,880390631916.0,,877427668950.0,
- Dự án Trần Phú Đà Nẵng,- Dự án Trần Phú Đà Nẵng,- Dự án Trần Phú Đà Nẵng,-,-,639.968.634.720,-,,,639968634720.0,
- Dự án Khu dân cư làng nghề và Trung tâm Xã Hàm Ninh (vii),- Dự án Khu dân cư làng nghề và Trung tâm Xã Hàm Ninh (vii),- Dự án Khu dân cư làng nghề và Trung tâm Xã Hàm Ninh (vii),400.580.908.890,-,400.580.908.890,-,400580908890.0,,400580908890.0,
- Dự án số 1 Ngô Mây,- Dự án số 1 Ngô Mây,- Dự án số 1 Ngô Mây,-,-,292.218.492.567,-,,,292218492567.0,
- Dự án Khu Đô Thị Sinh Thái Nhơn Hội (viii),- Dự án Khu Đô Thị Sinh Thái Nhơn Hội (viii),- Dự án Khu Đô Thị Sinh Thái Nhơn Hội (viii),208.959.935.682,-,211.827.588.574,-,208959935682.0,,211827588574.0,
- Dự án KDL Sinh thái Đoàn Ánh Dương (ix),- Dự án KDL Sinh thái Đoàn Ánh Dương (ix),- Dự án KDL Sinh thái Đoàn Ánh Dương (ix),44.155.699.067,-,44.155.699.067,-,44155699067.0,,44155699067.0,
- Dự án Kỳ Đồng,- Dự án Kỳ Đồng,- Dự án Kỳ Đồng,-,-,89.005.839.039,-,,,89005839039.0,
- Dự án Bầu Cả (x),- Dự án Bầu Cả (x),- Dự án Bầu Cả (x),3.833.046.775,-,7.078.510.572,-,3833046775.0,,7078510572.0,
- Các dự án khác,- Các dự án khác,- Các dự án khác,45.505.751.712,-,40.402.827.053,-,45505751712.0,,40402827053.0,
- Hầm xe E.I,- Hầm xe E.I,- Hầm xe E.I,3.369.862.500,-,-,-,3369862500.0,,,
Hàng hóa bất động sản khác (xi),Hàng hóa bất động sản khác (xi),Hàng hóa bất động sản khác (xi),1.001.166.037.391,-,-,-,1001166037391.0,,,
Hàng hóa khác,Hàng hóa khác,Hàng hóa khác,383.358.976,-,383.358.976,-,383358976.0,,383358976.0,
Cộng,Cộng,Cộng,16.714.675.448.271,-,14.077.663.631.758,-,16714675448271.0,,14077663631758.0,
