row_label_raw,row_label_full,col_0,Tại 31/12/2025 > Giá trị VND,Tại 31/12/2025 > Dự phòng VND,Tại 01/01/2025 > Giá trị VND,Tại 01/01/2025 > Dự phòng VND,numeric__Tại 31/12/2025 > Giá trị VND,numeric__Tại 31/12/2025 > Dự phòng VND,numeric__Tại 01/01/2025 > Giá trị VND,numeric__Tại 01/01/2025 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.016.192.996.910,(25.000.000.000),1.012.414.211.237,(17.500.000.000),1016192996910.0,-25000000000.0,1012414211237.0,-17500000000.0
- Công ty Cổ phần Địa ốc Sài Gòn - KL (i),- Công ty Cổ phần Địa ốc Sài Gòn - KL (i),- Công ty Cổ phần Địa ốc Sài Gòn - KL (i),659.223.368.818,-,922.373.368.818,-,659223368818.0,,922373368818.0,
- Ông Hoàng Hiệp Dũng (ii),- Ông Hoàng Hiệp Dũng (ii),- Ông Hoàng Hiệp Dũng (ii),25.000.000.000,(25.000.000.000),25.000.000.000,(17.500.000.000),25000000000.0,-25000000000.0,25000000000.0,-17500000000.0
- Ký cược ký quỹ,- Ký cược ký quỹ,- Ký cược ký quỹ,1.359.511.700,-,2.534.822.900,-,1359511700.0,,2534822900.0,
- Ông Phan Tại Sanh (iii),- Ông Phan Tại Sanh (iii),- Ông Phan Tại Sanh (iii),145.530.000.000,-,-,-,145530000000.0,,,
- Công ty Cổ phần Đầu tư Danh Khôi Holdings,- Công ty Cổ phần Đầu tư Danh Khôi Holdings,- Công ty Cổ phần Đầu tư Danh Khôi Holdings,400.000.000,-,400.000.000,-,400000000.0,,400000000.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,184.680.116.392,-,62.106.019.519,-,184680116392.0,,62106019519.0,
Dài hạn,Dài hạn,Dài hạn,41.305.892.655,-,38.724.892.655,-,41305892655.0,,38724892655.0,
- Ban Quản Lý Khu Kinh Tế Phú Quốc,- Ban Quản Lý Khu Kinh Tế Phú Quốc,- Ban Quản Lý Khu Kinh Tế Phú Quốc,38.548.000.000,-,38.548.000.000,-,38548000000.0,,38548000000.0,
- Ký cược ký quỹ,- Ký cược ký quỹ,- Ký cược ký quỹ,167.892.655,-,176.892.655,-,167892655.0,,176892655.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,2.590.000.000,-,-,-,2590000000.0,,,
Cộng,Cộng,Cộng,1.057.498.889.565,(25.000.000.000),1.051.139.103.892,(17.500.000.000),1057498889565.0,-25000000000.0,1051139103892.0,-17500000000.0
