row_label_raw,row_label_full,col_0,Nhà cửavật kiến trúcVND,Máy mócthiết bịVND,"Phương tiệnvận tải, truyền dẫnVND",Thiết bịdụng cụ quản lýVND,CộngVND,numeric__Nhà cửavật kiến trúcVND,numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền dẫnVND",numeric__Thiết bịdụng cụ quản lýVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại 01/01/2025,NGUYÊN GIÁ > Tại 01/01/2025,Tại 01/01/2025,366.026.575.528,6.229.730.393,38.296.717.011,131.174.971,410.684.197.903,366026575528.0,6229730393.0,38296717011.0,131174971.0,410684197903.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(624.302.265),-,(624.302.265),,,-624302265.0,,-624302265.0
Tại 31/12/2025,NGUYÊN GIÁ > Tại 31/12/2025,Tại 31/12/2025,366.026.575.528,6.229.730.393,37.672.414.746,131.174.971,410.059.895.638,366026575528.0,6229730393.0,37672414746.0,131174971.0,410059895638.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,
Tại 01/01/2025,HAO MÒN LỦY KẾ > Tại 01/01/2025,Tại 01/01/2025,(29.161.043.732),(5.953.144.773),(31.875.379.930),(131.174.971),(67.120.743.406),-29161043732.0,-5953144773.0,-31875379930.0,-131174971.0,-67120743406.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(7.952.676.296),(143.527.110),(2.729.743.831),-,(10.825.947.237),-7952676296.0,-143527110.0,-2729743831.0,,-10825947237.0
"- Thanh lý, nhượng bán","HAO MÒN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,624.302.265,-,624.302.265,,,624302265.0,,624302265.0
Tại 31/12/2025,HAO MÒN LỦY KẾ > Tại 31/12/2025,Tại 31/12/2025,(37.113.720.028),(6.096.671.883),(33.980.821.496),(131.174.971),(77.322.388.378),-37113720028.0,-6096671883.0,-33980821496.0,-131174971.0,-77322388378.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2025,GIÁ TRỊ CÒN LẠI > Tại 01/01/2025,Tại 01/01/2025,336.865.531.796,276.585.620,6.421.337.081,-,343.563.454.497,336865531796.0,276585620.0,6421337081.0,,343563454497.0
Tại 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại 31/12/2025,Tại 31/12/2025,328.912.855.500,133.058.510,3.691.593.250,-,332.737.507.260,328912855500.0,133058510.0,3691593250.0,,332737507260.0
