row_label_raw,row_label_full,Khoản mục > 01/01/2024,Vốn đầu tư của chủ sở hữu VND > 7.388.108.400.000,Thặng dư vốn cổ phần VND > 71.120.900.000,Quỹ đầu tư phát triển VND > 230.128.842.335,Lợi nhuận sau thuế chưa phân phối VND > 1.831.862.790.140,Lợi ích cổ đông không kiểm soát VND > 58.170.978.238,Tổng cộng VND > 9.579.391.910.713,numeric__Vốn đầu tư của chủ sở hữu VND > 7.388.108.400.000,numeric__Thặng dư vốn cổ phần VND > 71.120.900.000,numeric__Quỹ đầu tư phát triển VND > 230.128.842.335,numeric__Lợi nhuận sau thuế chưa phân phối VND > 1.831.862.790.140,numeric__Lợi ích cổ đông không kiểm soát VND > 58.170.978.238,numeric__Tổng cộng VND > 9.579.391.910.713
- Phát hành cổ phiếu,- Phát hành cổ phiếu,- Phát hành cổ phiếu,1.343.292.430.000,(646.100.000),-,-,-,1.342.646.330.000,1343292430000.0,-646100000.0,,,,1342646330000.0
- Lãi trong năm trước,- Lãi trong năm trước,- Lãi trong năm trước,-,-,-,155.087.685.811,96.034.916,155.183.720.727,,,,155087685811.0,96034916.0,155183720727.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,13.681.172.194,(27.362.344.388),(60.000.000),(13.741.172.194),,,13681172194.0,-27362344388.0,-60000000.0,-13741172194.0
- Thù lao HĐQT,- Thù lao HĐQT,- Thù lao HĐQT,-,-,-,(4.972.130.256),-,(4.972.130.256),,,,-4972130256.0,,-4972130256.0
31/12/2024,31/12/2024,31/12/2024,8.731.400.830.000,70.474.800.000,243.810.014.529,1.954.616.001.307,58.207.013.154,11.058.508.658.990,8731400830000.0,70474800000.0,243810014529.0,1954616001307.0,58207013154.0,11058508658990.0
Tại 01/01/2025,Tại 01/01/2025,Tại 01/01/2025,8.731.400.830.000,70.474.800.000,243.810.014.529,1.954.616.001.307,58.207.013.154,11.058.508.658.990,8731400830000.0,70474800000.0,243810014529.0,1954616001307.0,58207013154.0,11058508658990.0
- Tăng vốn trong năm nay (*),- Tăng vốn trong năm nay (*),- Tăng vốn trong năm nay (*),520.950.000.000,339.950.000.000,-,-,-,860.900.000.000,520950000000.0,339950000000.0,,,,860900000000.0
- Chỉ cổ tức bằng cổ phiếu (**),- Chỉ cổ tức bằng cổ phiếu (**),- Chỉ cổ tức bằng cổ phiếu (**),725.742.960.000,-,-,(725.742.960.000),-,-,725742960000.0,,,-725742960000.0,,
- Lãi/(Lỗ) trong năm nay,- Lãi/(Lỗ) trong năm nay,- Lãi/(Lỗ) trong năm nay,-,-,-,515.069.907.619,(381.558.456),514.688.349.163,,,,515069907619.0,-381558456.0,514688349163.0
- Phân phối lợi nhuận (***),- Phân phối lợi nhuận (***),- Phân phối lợi nhuận (***),-,-,4.652.630.574,(9.305.261.148),-,(4.652.630.574),,,4652630574.0,-9305261148.0,,-4652630574.0
+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,-,-,4.652.630.574,(4.652.630.574),-,-,,,4652630574.0,-4652630574.0,,
"+ Trích quỹ khen thưởng, phúc lợi","+ Trích quỹ khen thưởng, phúc lợi","+ Trích quỹ khen thưởng, phúc lợi",-,-,-,(4.652.630.574),-,(4.652.630.574),,,,-4652630574.0,,-4652630574.0
- Điều chỉnh do thoái vốn/giảm vốn tại các Công ty con,- Điều chỉnh do thoái vốn/giảm vốn tại các Công ty con,- Điều chỉnh do thoái vốn/giảm vốn tại các Công ty con,-,-,-,6.600.544.652,(6.955.702.648),(355.157.996),,,,6600544652.0,-6955702648.0,-355157996.0
- Thù lao HĐQT (****),- Thù lao HĐQT (****),- Thù lao HĐQT (****),-,-,-,(5.150.699.076),-,(5.150.699.076),,,,-5150699076.0,,-5150699076.0
Tại 31/12/2025,Tại 31/12/2025,Tại 31/12/2025,9.978.093.790.000,410.424.800.000,248.462.645.103,1.736.087.533.354,50.869.752.050,12.423.938.520.507,9978093790000.0,410424800000.0,248462645103.0,1736087533354.0,50869752050.0,12423938520507.0
