row_label_raw,row_label_full,Nhóm tài sản cố định,Thời gian sử dụng (năm),numeric__Thời gian sử dụng (năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",25 - 50,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",06 - 07,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,03 - 06,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,06 - 08,
Phân mềm máy tính,Thiết bị văn phòng > Phân mềm máy tính,Phân mềm máy tính,03,3.0
