row_label_raw,row_label_full,col_0,Tại 31/12/2025VND,Tại 01/01/2025VND,numeric__Tại 31/12/2025VND,numeric__Tại 01/01/2025VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,8.176.960.740.485,5.721.587.155.285,8176960740485.0,5721587155285.0
- Phải trả theo Hợp đồng hợp tác đầu tư Dự án The EverRich 2 và The Everich 3 (i),- Phải trả theo Hợp đồng hợp tác đầu tư Dự án The EverRich 2 và The Everich 3 (i),- Phải trả theo Hợp đồng hợp tác đầu tư Dự án The EverRich 2 và The Everich 3 (i),7.934.274.149.934,5.547.433.656.616,7934274149934.0,5547433656616.0
- Phải trả theo hợp đồng vay (ii),- Phải trả theo hợp đồng vay (ii),- Phải trả theo hợp đồng vay (ii),181.131.704.531,84.833.483.305,181131704531.0,84833483305.0
+ Ông Hoàng Võ Anh Khoa,+ Ông Hoàng Võ Anh Khoa,+ Ông Hoàng Võ Anh Khoa,-,38.237.745.040,,38237745040.0
+ Công ty Cổ phần Đầu tư và Phát triển Khu công nghiệp Phát Đạt,+ Công ty Cổ phần Đầu tư và Phát triển Khu công nghiệp Phát Đạt,+ Công ty Cổ phần Đầu tư và Phát triển Khu công nghiệp Phát Đạt,-,36.294.095.940,,36294095940.0
+ Công ty Cổ phần Đầu tư Bắc Cường,+ Công ty Cổ phần Đầu tư Bắc Cường,+ Công ty Cổ phần Đầu tư Bắc Cường,47.030.812.462,-,47030812462.0,
+ Công ty Cổ phần Đầu tư và Quản lý khách sạn AKYN,+ Công ty Cổ phần Đầu tư và Quản lý khách sạn AKYN,+ Công ty Cổ phần Đầu tư và Quản lý khách sạn AKYN,5.620.892.069,10.301.642.325,5620892069.0,10301642325.0
+ Công ty Cổ phần Phát Triển Đô Thị Tam Hiệp,+ Công ty Cổ phần Phát Triển Đô Thị Tam Hiệp,+ Công ty Cổ phần Phát Triển Đô Thị Tam Hiệp,128.480.000.000,-,128480000000.0,
- Hợp tác kinh doanh Dự án Nhon Hội (iii),- Hợp tác kinh doanh Dự án Nhon Hội (iii),- Hợp tác kinh doanh Dự án Nhon Hội (iii),11.191.500.000,13.518.255.040,11191500000.0,13518255040.0
- Ký quỹ nhận được từ khách hàng,- Ký quỹ nhận được từ khách hàng,- Ký quỹ nhận được từ khách hàng,14.200.000.000,14.200.000.000,14200000000.0,14200000000.0
- Các khoản phải trả khác,- Các khoản phải trả khác,- Các khoản phải trả khác,36.163.386.020,61.601.760.324,36163386020.0,61601760324.0
Dài hạn,Dài hạn,Dài hạn,150.530.671.510,404.031.164.675,150530671510.0,404031164675.0
- Phải trả theo hợp đồng vay (ii),- Phải trả theo hợp đồng vay (ii),- Phải trả theo hợp đồng vay (ii),150.522.571.510,-,150522571510.0,
+ Công ty CP Khu Đô Thị Mới Đồng Nai Riverside,+ Công ty CP Khu Đô Thị Mới Đồng Nai Riverside,+ Công ty CP Khu Đô Thị Mới Đồng Nai Riverside,150.522.571.510,-,150522571510.0,
- Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,- Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,- Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,-,404.026.064.675,,404026064675.0
- Phải trả khác,- Phải trả khác,- Phải trả khác,8.100.000,5.100.000,8100000.0,5100000.0
Cộng,Cộng,Cộng,8.327.491.411.995,6.125.618.319.960,8327491411995.0,6125618319960.0
