row_label_raw,row_label_full,Nội dung,01/01/2025 > Giá trị VND,01/01/2025 > Số có khả năng trả nợ (VND),Trong năm > Tăng VND,Trong năm > Giảm VND,31/12/2025 > Giá trị VND,31/12/2025 > Số có khả năng trả nợ (VND),numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Số có khả năng trả nợ (VND),numeric__Trong năm > Tăng VND,numeric__Trong năm > Giảm VND,numeric__31/12/2025 > Giá trị VND,numeric__31/12/2025 > Số có khả năng trả nợ (VND)
a) Vay và nợ thuê tài chính ngắn hạn,a) Vay và nợ thuê tài chính ngắn hạn,a) Vay và nợ thuê tài chính ngắn hạn,1.382.725.295.267,1.382.725.295.267,989.494.870.424,1.266.084.095.267,1.106.136.070.424,1.106.136.070.424,1382725295267.0,1382725295267.0,989494870424.0,1266084095267.0,1106136070424.0,1106136070424.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.382.725.295.267,1.382.725.295.267,989.494.870.424,1.266.084.095.267,1.106.136.070.424,1.106.136.070.424,1382725295267.0,1382725295267.0,989494870424.0,1266084095267.0,1106136070424.0,1106136070424.0
- Vay ngắn hàng (i),- Vay ngắn hàng (i),- Vay ngắn hàng (i),386.195.295.267,386.195.295.267,928.494.870.424,389.554.095.267,925.136.070.424,925.136.070.424,386195295267.0,386195295267.0,928494870424.0,389554095267.0,925136070424.0,925136070424.0
- Vay tổ chức (ii),- Vay tổ chức (ii),- Vay tổ chức (ii),846.530.000.000,846.530.000.000,60.000.000.000,766.530.000.000,140.000.000.000,140.000.000.000,846530000000.0,846530000000.0,60000000000.0,766530000000.0,140000000000.0,140000000000.0
- Vay cá nhân (ii),- Vay cá nhân (ii),- Vay cá nhân (ii),150.000.000.000,150.000.000.000,1.000.000.000,110.000.000.000,41.000.000.000,41.000.000.000,150000000000.0,150000000000.0,1000000000.0,110000000000.0,41000000000.0,41000000000.0
b) Vay và nợ thuê tài chính dài hạn,b) Vay và nợ thuê tài chính dài hạn,b) Vay và nợ thuê tài chính dài hạn,3.960.639.747.338,3.960.639.747.338,1.493.211.462.171,1.015.795.478.388,4.438.055.731.121,4.438.055.731.121,3960639747338.0,3960639747338.0,1493211462171.0,1015795478388.0,4438055731121.0,4438055731121.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,3.960.639.747.338,3.960.639.747.338,1.493.211.462.171,1.015.795.478.388,4.438.055.731.121,4.438.055.731.121,3960639747338.0,3960639747338.0,1493211462171.0,1015795478388.0,4438055731121.0,4438055731121.0
- Vay ngắn hàng (i),- Vay ngắn hàng (i),- Vay ngắn hàng (i),3.528.250.193.244,3.528.250.193.244,1.493.211.462.171,919.754.250.496,4.101.707.404.919,4.101.707.404.919,3528250193244.0,3528250193244.0,1493211462171.0,919754250496.0,4101707404919.0,4101707404919.0
- Vay tổ chức (ii),- Vay tổ chức (ii),- Vay tổ chức (ii),360.389.554.094,360.389.554.094,-,96.041.227.892,264.348.326.202,264.348.326.202,360389554094.0,360389554094.0,,96041227892.0,264348326202.0,264348326202.0
- Vay cá nhân (ii),- Vay cá nhân (ii),- Vay cá nhân (ii),72.000.000.000,72.000.000.000,-,-,72.000.000.000,72.000.000.000,72000000000.0,72000000000.0,,,72000000000.0,72000000000.0
Cộng,Cộng,Cộng,5.343.365.042.605,5.343.365.042.605,2.482.706.332.595,2.281.879.573.655,5.544.191.801.545,5.544.191.801.545,5343365042605.0,5343365042605.0,2482706332595.0,2281879573655.0,5544191801545.0,5544191801545.0
