row_label_raw,row_label_full,col_0,Tại 31/12/2025 > Giá trị VND,Tại 31/12/2025 > Dự phòng VND,Tại 01/01/2025 > Giá trị VND,Tại 01/01/2025 > Dự phòng VND,numeric__Tại 31/12/2025 > Giá trị VND,numeric__Tại 31/12/2025 > Dự phòng VND,numeric__Tại 01/01/2025 > Giá trị VND,numeric__Tại 01/01/2025 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.929.691.601.058,(1.041.544.375),2.806.270.912.856,(1.041.544.375),1929691601058.0,-1041544375.0,2806270912856.0,-1041544375.0
- Phải thu từ việc chuyển nhượng bất động sản,- Phải thu từ việc chuyển nhượng bất động sản,- Phải thu từ việc chuyển nhượng bất động sản,1.365.632.511.585,-,2.167.564.295.061,-,1365632511585.0,,2167564295061.0,
+ Phân khu 4 cao tầng Dự án Nhơn Hội (i),+ Phân khu 4 cao tầng Dự án Nhơn Hội (i),+ Phân khu 4 cao tầng Dự án Nhơn Hội (i),814.400.000.000,-,1.585.100.000.000,-,814400000000.0,,1585100000000.0,
+ Dự án Khu dân cư kết hợp chỉnh trang đô thị Bắc Hà Thanh (ii),+ Dự án Khu dân cư kết hợp chỉnh trang đô thị Bắc Hà Thanh (ii),+ Dự án Khu dân cư kết hợp chỉnh trang đô thị Bắc Hà Thanh (ii),439.884.364.835,-,471.116.148.311,-,439884364835.0,,471116148311.0,
+ Phân khu 9 Dự án Nhơn Hội (i),+ Phân khu 9 Dự án Nhơn Hội (i),+ Phân khu 9 Dự án Nhơn Hội (i),111.348.146.750,-,111.348.146.750,-,111348146750.0,,111348146750.0,
- Phải thu từ việc chuyển nhượng cổ phần,- Phải thu từ việc chuyển nhượng cổ phần,- Phải thu từ việc chuyển nhượng cổ phần,455.116.000.000,-,535.610.000.000,-,455116000000.0,,535610000000.0,
+ Phải thu từ việc chuyển nhượng cổ phần của Công ty Cổ phần Đầu tư Bất động sản BIDICI,+ Phải thu từ việc chuyển nhượng cổ phần của Công ty Cổ phần Đầu tư Bất động sản BIDICI,+ Phải thu từ việc chuyển nhượng cổ phần của Công ty Cổ phần Đầu tư Bất động sản BIDICI,-,-,361.440.000.000,-,,,361440000000.0,
+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Địa ốc Sài Gòn - KL (iii),+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Địa ốc Sài Gòn - KL (iii),+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Địa ốc Sài Gòn - KL (iii),174.170.000.000,-,174.170.000.000,-,174170000000.0,,174170000000.0,
+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Đầu tư Bất động sản Ngô Máy (iv),+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Đầu tư Bất động sản Ngô Máy (iv),+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Đầu tư Bất động sản Ngô Máy (iv),134.000.000.000,-,-,-,134000000000.0,,,
+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Đầu tư Bắc Cường (v),+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Đầu tư Bắc Cường (v),+ Phải thu từ việc chuyển nhượng cổ phần Công ty Cổ phần Đầu tư Bắc Cường (v),146.946.000.000,-,-,-,146946000000.0,,,
- Khách hàng khác,- Khách hàng khác,- Khách hàng khác,108.943.089.473,(1.041.544.375),103.096.617.795,(1.041.544.375),108943089473.0,-1041544375.0,103096617795.0,-1041544375.0
Dài hạn,Dài hạn,Dài hạn,-,-,-,-,,,,
Cộng,Dài hạn > Cộng,Cộng,1.929.691.601.058,(1.041.544.375),2.806.270.912.856,(1.041.544.375),1929691601058.0,-1041544375.0,2806270912856.0,-1041544375.0
