row_label_raw,row_label_full,- Lãi từ chuyển nhượng công ty con/liên kết(Thuyết minh số 1.5),Năm 2025VND > 544.856.917.407,Năm 2024VND > 394.154.914.840,numeric__Năm 2025VND > 544.856.917.407,numeric__Năm 2024VND > 394.154.914.840
"- Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay",8.509.395.838,7.302.652.887,8509395838.0,7302652887.0
- Lãi từ chênh lệch tỷ giá trong năm,- Lãi từ chênh lệch tỷ giá trong năm,- Lãi từ chênh lệch tỷ giá trong năm,84.630.000.000,-,84630000000.0,
Cộng,Cộng,Cộng,637.996.313.245,401.457.567.727,637996313245.0,401457567727.0
