row_label_raw,row_label_full,col_0,Nhà kho,numeric__Nhà kho
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,98.921,98921.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(98.921),-98921.0
Số cuối năm,Số cuối năm,Số cuối năm,-,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Đã khấu hao hết nhưng vấn cho thuê,Đã khấu hao hết nhưng vấn cho thuê,Đã khấu hao hết nhưng vấn cho thuê,-,
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,4.611,4611.0
Khâu hao trong năm,Giá trị hao mòn > Khâu hao trong năm,Khâu hao trong năm,510,510.0
Thanh lý,Giá trị hao mòn > Thanh lý,Thanh lý,(5.121),-5121.0
Số cuối năm,Số cuối năm,Số cuối năm,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,94.310,94310.0
Số cuối năm,Số cuối năm,Số cuối năm,-,
