row_label_raw,row_label_full,Cho vay khách hàng,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,34.699.595,33.437.644,34699595.0,33437644.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",16.352,42.001,16352.0,42001.0
Các khoản trả thay khách hàng,Các khoản trả thay khách hàng,Các khoản trả thay khách hàng,250,-,250.0,
Cộng,Cộng,Cộng,34.716.197,33.479.645,34716197.0,33479645.0
