row_label_raw,row_label_full,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền_1,Tiền và các khoản tương đương tiền_2,numeric__Tiền và các khoản tương đương tiền_1,numeric__Tiền và các khoản tương đương tiền_2
,,,31/12/2020,31/12/2019,,
Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,755.932,694.761,755932.0,694761.0
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,3.500.995,2.998.548,3500995.0,2998548.0
"Tiền gửi thanh toán, tiền gửi và cho vaycác TCTD khác có kỳ hạn trong vòng 3 tháng","Tiền gửi thanh toán, tiền gửi và cho vaycác TCTD khác có kỳ hạn trong vòng 3 tháng","Tiền gửi thanh toán, tiền gửi và cho vaycác TCTD khác có kỳ hạn trong vòng 3 tháng",3.850.698,3.077.208,3850698.0,3077208.0
Tiền gửi các tổ chức tín dụng khác với kỳ hạn gốckhông quá 3 tháng,Tiền gửi các tổ chức tín dụng khác với kỳ hạn gốckhông quá 3 tháng,Tiền gửi các tổ chức tín dụng khác với kỳ hạn gốckhông quá 3 tháng,8.061.249,6.799.993,8061249.0,6799993.0
Cộng,Cộng,Cộng,16.168.874,13.570.510,16168874.0,13570510.0
