row_label_raw,row_label_full,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Số cuối năm > 3.381.781,Số đầu năm > 830.764,numeric__Số cuối năm > 3.381.781,numeric__Số đầu năm > 830.764
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,,,
Trái phiếu Chính phủ (i),Chứng khoán nợ > Trái phiếu Chính phủ (i),Trái phiếu Chính phủ (i),3.281.781,830.764,3281781.0,830764.0
Chứng khoán nợ do các TCTD trong nước phát hành,Chứng khoán nợ > Chứng khoán nợ do các TCTD trong nước phát hành,Chứng khoán nợ do các TCTD trong nước phát hành,100.000,-,100000.0,
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,-,-,,
Mệnh giá trái phiếu đặc biệt,Mệnh giá trái phiếu đặc biệt,Mệnh giá trái phiếu đặc biệt,-,-,,
Dự phòng trái phiếu đặc biệt (ii),Dự phòng trái phiếu đặc biệt (ii),Dự phòng trái phiếu đặc biệt (ii),-,-,,
Cộng chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng trái phiếu đặc biệt (ii) > Cộng chứng khoán đầu tư giữ đến ngày đáo hạn,Cộng chứng khoán đầu tư giữ đến ngày đáo hạn,3.381.781,830.764,3381781.0,830764.0
