row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01.,01.,Thu nhập lãi và các khoản thu nhập tương tự nhận được,,4.136.443,4.188.971,,,4136443.0,4188971.0
02.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02.,02.,Chi phí lãi và các chi phí tương tự đã trả,,(2.649.693),(2.750.964),,,-2649693.0,-2750964.0
03.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03.,03.,Thu nhập hoạt động dịch vụ nhận được,,86.979,76.456,,,86979.0,76456.0
04.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04.,04.,"Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",,102.404,90.569,,,102404.0,90569.0
05.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05.,05.,Thu nhập khác,,1.126,1.870,,,1126.0,1870.0
06.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06.,06.,"Tiền thu các khoản nợ đã được xử lý xóa, bù đáp bằng nguồn rủi ro",VI.6,40.666,16.637,,,40666.0,16637.0
07.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07.,07.,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",,(1.017.072),(972.867),,,-1017072.0,-972867.0
08.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08.,08.,Tiền thuế thực nộp trong năm,VIII.2,(17.440),(48.257),,,-17440.0,-48257.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,683.413,602.415,,,683413.0,602415.0
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,,
09.,09.,09.,(Tăng)/Giảm tiền vàng gửi và cho vay các TCTD khác,,-,-,,,,
