row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Năm nay,Năm trước,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,1. Thu nhập lãi và các khoản thu nhập tương tự,VI.1,3.932.611,3.897.868,,,3932611.0,3897868.0
,,,2. Chi phí lãi và các khoản chi phí tương tự,VI.2,2.980.182,2.889.998,,,2980182.0,2889998.0
,,,I. Thu nhập lãi thuần,,952.429,1.007.870,,,952429.0,1007870.0
,,,3. Thu nhập từ hoạt động dịch vụ,VI.3,103.453,93.310,,,103453.0,93310.0
,,,4. Chi phí từ hoạt động dịch vụ,VI.3,16.474,16.854,,,16474.0,16854.0
,,,II. Lãi/lỗ thuần từ hoạt động dịch vụ,VI.3,86.979,76.456,,,86979.0,76456.0
,,,III. Lãi/lỗ thuần từ kinh doanh ngoại hối,VI.4,25.237,28.631,,,25237.0,28631.0
,,,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,-,-,,,,
,,,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,VI.5,77.167,61.938,,,77167.0,61938.0
,,,5. Thu nhập từ hoạt động khác,VI.6,107.366,35.287,,,107366.0,35287.0
,,,6. Chi phí từ hoạt động khác,VI.6,8.791,8.208,,,8791.0,8208.0
,,,VI. Lãi/lỗ thuần từ hoạt động khác,VI.6,98.575,27.079,,,98575.0,27079.0
,,,"VII. Thu nhập từ góp vốn, mua cổ phần",VI.7,891,835,,,891.0,835.0
,,,VIII. Chi phí hoạt động,VI.8,1.085.478,1.041.601,,,1085478.0,1041601.0
,,,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,155.800,161.208,,,155800.0,161208.0
,,,X. Chi phí dự phòng rủi ro tín dụng,"V.6, 7",(2.410),75.287,,,-2410.0,75287.0
,,,XI. Tổng lợi nhuận trước thuế,,158.210,85.921,,,158210.0,85921.0
,,,7. Chi phí thuế thu nhập doanh nghiệp hiện hành,VIII.2,31.892,18.247,,,31892.0,18247.0
,,,8. Chi phí thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,,
,,,XII. Chi phí thuế thu nhập doanh nghiệp,,31.892,18.247,,,31892.0,18247.0
,,,XIII. Lợi nhuận sau thuế,,126.318,67.674,,,126318.0,67674.0
,,,XIV. Lợi ích của cổ đông thiểu số,,-,-,,,,
,,,XV. Lãi cơ bản trên cổ phiếu (VND),"VI.9a, b",395,212,,,395.0,212.0
