row_label_raw,row_label_full,Dàu tu dαi nαh kinac,Dàu tu dαi nαh kinac_1,Dàu tu dαi nαh kinac_2,numeric__Dàu tu dαi nαh kinac_1,numeric__Dàu tu dαi nαh kinac_2
,,,Số cuối năm,Số đầu năm,,
Công ty Cổ phần Đầu tư Xây dựng Hồng Phát (i),Công ty Cổ phần Đầu tư Xây dựng Hồng Phát (i),Công ty Cổ phần Đầu tư Xây dựng Hồng Phát (i),5.250,5.250,5250.0,5250.0
Công ty Cổ phần Sài Gòn - Rạch Giá (ii),Công ty Cổ phần Sài Gòn - Rạch Giá (ii),Công ty Cổ phần Sài Gòn - Rạch Giá (ii),9.271,9.271,9271.0,9271.0
Cộng,Cộng,Cộng,14.521,14.521,14521.0,14521.0
