row_label_raw,row_label_full,col_0,Miền Bắc > Năm nay,Miền Bắc > Năm trước,Miền Trung > Năm nay,Miền Trung > Năm trước,Miền Năm > Năm nay,Miền Năm > Năm trước,Điều chỉnh > Năm nay,Điều chỉnh > Năm trước,Cộng > Năm nay,Cộng > Năm trước,numeric__Miền Bắc > Năm nay,numeric__Miền Bắc > Năm trước,numeric__Miền Trung > Năm nay,numeric__Miền Trung > Năm trước,numeric__Miền Năm > Năm nay,numeric__Miền Năm > Năm trước,numeric__Điều chỉnh > Năm nay,numeric__Điều chỉnh > Năm trước,numeric__Cộng > Năm nay,numeric__Cộng > Năm trước
I. Thu nhập,I. Thu nhập,I. Thu nhập,448.883,324.621,699.047,620.292,4.027.290,4.204.360,(823.986),(985.784),4.351.234,4.163.489,448883.0,324621.0,699047.0,620292.0,4027290.0,4204360.0,-823986.0,-985784.0,4351234.0,4163489.0
1. Thu nhập lãi,1. Thu nhập lãi,1. Thu nhập lãi,441.507,316.656,682.661,605.527,3.632.429,3.961.469,(823.986),(985.784),3.932.611,3.897.868,441507.0,316656.0,682661.0,605527.0,3632429.0,3961469.0,-823986.0,-985784.0,3932611.0,3897868.0
Thu nhập lãi khách hàng bên ngoài,Thu nhập lãi khách hàng bên ngoài,Thu nhập lãi khách hàng bên ngoài,158.732,166.843,624.563,574.006,3.149.316,3.157.019,-,-,3.932.611,3.897.868,158732.0,166843.0,624563.0,574006.0,3149316.0,3157019.0,,,3932611.0,3897868.0
Thu nhập lãi nội bộ,Thu nhập lãi nội bộ,Thu nhập lãi nội bộ,282.775,149.813,58.098,31.521,483.113,804.450,(823.986),(985.784),-,-,282775.0,149813.0,58098.0,31521.0,483113.0,804450.0,-823986.0,-985784.0,,
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,3.810,2.830,12.765,10.025,86.878,80.455,-,-,103.453,93.310,3810.0,2830.0,12765.0,10025.0,86878.0,80455.0,,,103453.0,93310.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3.566,5.135,3.621,4.740,307.983,162.436,-,-,315.170,172.311,3566.0,5135.0,3621.0,4740.0,307983.0,162436.0,,,315170.0,172311.0
II. Chi phí,II. Chi phí,II. Chi phí,402.017,291.432,602.605,508.941,4.014.798,4.187.692,(823.986),(985.784),4.195.434,4.002.281,402017.0,291432.0,602605.0,508941.0,4014798.0,4187692.0,-823986.0,-985784.0,4195434.0,4002281.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,346.419,238.247,452.933,364.081,3.004.816,3.273.454,(823.986),(985.784),2.980.182,2.889.998,346419.0,238247.0,452933.0,364081.0,3004816.0,3273454.0,-823986.0,-985784.0,2980182.0,2889998.0
Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,327.656,217.033,410.273,326.011,2.242.253,2.346.954,-,-,2.980.182,2.889.998,327656.0,217033.0,410273.0,326011.0,2242253.0,2346954.0,,,2980182.0,2889998.0
Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,18.763,21.214,42.660,38.070,762.563,926.500,(823.986),(985.784),-,-,18763.0,21214.0,42660.0,38070.0,762563.0,926500.0,-823986.0,-985784.0,,
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,1.024,988,7.978,7.563,59.415,62.219,-,-,68.417,70.770,1024.0,988.0,7978.0,7563.0,59415.0,62219.0,,,68417.0,70770.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,54.574,52.197,141.694,137.297,950.567,852.019,-,-,1.146.835,1.041.513,54574.0,52197.0,141694.0,137297.0,950567.0,852019.0,,,1146835.0,1041513.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,46.866,33.189,96.442,111.351,12.492,16.668,-,-,155.800,161.208,46866.0,33189.0,96442.0,111351.0,12492.0,16668.0,,,155800.0,161208.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,186,6.821,662,11.388,(3.258),57.078,-,-,(2.410),75.287,186.0,6821.0,662.0,11388.0,-3258.0,57078.0,,,-2410.0,75287.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,46.680,26.368,95.780,99.963,15.750,(40.410),-,-,158.210,85.921,46680.0,26368.0,95780.0,99963.0,15750.0,-40410.0,,,158210.0,85921.0
