row_label_raw,row_label_full,col_0,Lĩnh vựcngân hàng,Lĩnh vựcquản lý nợvà khai thắc tài sản,Loại trừ,Cộng,numeric__Lĩnh vựcngân hàng,numeric__Lĩnh vựcquản lý nợvà khai thắc tài sản,numeric__Loại trừ,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Thu nhập,Năm nay > Thu nhập,Thu nhập,4.268.980,266.352,(184.098),4.351.234,4268980.0,266352.0,-184098.0,4351234.0
Chi phí,Năm nay > Chi phí,Chi phí,4.304.343,4.362,(184.098),4.124.607,4304343.0,4362.0,-184098.0,4124607.0
Chi phí khấu hao tài sản cố định và bất động sản đầu tư,Năm nay > Chi phí khấu hao tài sản cố định và bất động sản đầu tư,Chi phí khấu hao tài sản cố định và bất động sản đầu tư,67.534,883,-,68.410,67534.0,883.0,,68410.0
Lợi nhuận trước thuế,Năm nay > Lợi nhuận trước thuế,Lợi nhuận trước thuế,(102.897),261.107,-,158.210,-102897.0,261107.0,,158210.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Thu nhập,Năm trước > Thu nhập,Thu nhập,4.121.593,72.876,(30.980),4.163.489,4121593.0,72876.0,-30980.0,4163489.0
Chi phí,Năm trước > Chi phí,Chi phí,3.977.803,2.684,26.311,4.006.798,3977803.0,2684.0,26311.0,4006798.0
Chi phí khấu hao tài sản cố định và bất động sản đầu tư,Năm trước > Chi phí khấu hao tài sản cố định và bất động sản đầu tư,Chi phí khấu hao tài sản cố định và bất động sản đầu tư,68.427,2.343,-,70.770,68427.0,2343.0,,70770.0
Lợi nhuận trước thuế,Năm trước > Lợi nhuận trước thuế,Lợi nhuận trước thuế,75.363,67.849,(57.291),85.921,75363.0,67849.0,-57291.0,85921.0
