row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm máy tính,Tài sản cố định khác,Cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm máy tính,numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,708.653,90.123,9.659,808.435,708653.0,90123.0,9659.0,808435.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,488,-,488,,488.0,,488.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,2.108,-,-,2.108,2108.0,,,2108.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,710.761,90.611,9.659,811.031,710761.0,90611.0,9659.0,811031.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,-,42.647,5.474,48.121,,42647.0,5474.0,48121.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,5.180,55.147,5.668,65.995,5180.0,55147.0,5668.0,65995.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,1.831,6.301,1.055,9.187,1831.0,6301.0,1055.0,9187.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,7.011,61.448,6.723,75.182,7011.0,61448.0,6723.0,75182.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,703.473,34.976,3.991,742.440,703473.0,34976.0,3991.0,742440.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,703.750,29.163,2.936,735.849,703750.0,29163.0,2936.0,735849.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,-,-,-,-,,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,-,,,,
