row_label_raw,row_label_full,Tên,Nơi thành lập,Hoạt động chính,Giấy chứng nhận đăng ký kinh doanh,Tỷ lệ lợi ích sở hữu/ quyền biểu quyết,Tỷ lệ lợi ích sở hữu/ quyền biểu quyết_1,numeric__Nơi thành lập,numeric__Hoạt động chính,numeric__Giấy chứng nhận đăng ký kinh doanh,numeric__Tỷ lệ lợi ích sở hữu/ quyền biểu quyết,numeric__Tỷ lệ lợi ích sở hữu/ quyền biểu quyết_1
Tên,Tên,Tên,Nơi thành lập,Hoạt động chính,Giấy chứng nhận đăng ký kinh doanh,31/12/2017,1/1/2017,,,,,
Vietjet Air IVB No. II Limited (*),Tên > Vietjet Air IVB No. II Limited (*),Vietjet Air IVB No. II Limited (*),British Virgin Islands,Mua bán máy bay.,Số 1825613 ngày 27 tháng 5 năm 2014,100%,100%,,,,1.0,1.0
Vietjet Air Singapore Pte. Ltd. (*),Tên > Vietjet Air Singapore Pte. Ltd. (*),Vietjet Air Singapore Pte. Ltd. (*),Singapore,Mua bán máy bay.,Số 201408849N ngày 27 tháng 3 năm 2014,100%,100%,,,,1.0,1.0
Vietjet Air Ireland No. I Limited (*),Tên > Vietjet Air Ireland No. I Limited (*),Vietjet Air Ireland No. I Limited (*),Ireland,Mua bán máy bay.,Số 544879 ngày 3 tháng 6 năm 2014,100%,100%,,,,1.0,1.0
Skymate Limited (*),Tên > Skymate Limited (*),Skymate Limited (*),Cayman Islands,Mua bán máy bay.,Số 327015 ngày 15 tháng 9 năm 2017,100%,-,,,,1.0,
Công ty liên kết Thai Vietjet Air Joint Stock Company Limited (*) (***),Tên > Công ty liên kết Thai Vietjet Air Joint Stock Company Limited (*) (***),Công ty liên kết Thai Vietjet Air Joint Stock Company Limited (*) (***),Thái Lan,"Cung cấp dịch vụ vận chuyển hàng hóa và hành khách, tổ chức các chuyển du lịch và các dịch vụ liên quan khác.",Số 0105556100551 ngày 25 tháng 6 năm 2013,9%,9%,,,,0.09,0.09
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Tên > Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (**),Việt Nam,Cung cấp các dịch vụ hỗ trợ trực tiếp cho vận chuyển hàng không.,Số 4201676638 ngày 5 tháng 2 năm 2016,10%,10%,,,,0.1,0.1
