row_label_raw,row_label_full,col_0,Vốncổ phầnVND,Thặng dư vốncổ phầnVND,Chênh lệch tỷgiá hối doáiVND,Lợi nhuận chưaphân phốiVND,Lợi íchcổ đông khôngkiểm soátVND,TổngVND,numeric__Vốncổ phầnVND,numeric__Thặng dư vốncổ phầnVND,numeric__Chênh lệch tỷgiá hối doáiVND,numeric__Lợi nhuận chưaphân phốiVND,numeric__Lợi íchcổ đông khôngkiểm soátVND,numeric__TổngVND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,1.450.000.000.000,-,10.578.470.043,685.722.725.515,1.139.084.792,2.147.440.280.350,1450000000000.0,,10578470043.0,685722725515.0,1139084792.0,2147440280350.0
Tăng vốn bằng cách phát hànhcổ tức bằng cổ phiếu từ nguồnlợi nhuận chưa phân phối,Tăng vốn bằng cách phát hànhcổ tức bằng cổ phiếu từ nguồnlợi nhuận chưa phân phối,Tăng vốn bằng cách phát hànhcổ tức bằng cổ phiếu từ nguồnlợi nhuận chưa phân phối,978.500.000.000,-,-,(978.500.000.000),-,-,978500000000.0,,,-978500000000.0,,
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,571.500.000.000,-,-,-,-,571.500.000.000,571500000000.0,,,,,571500000000.0
Cổ tức bằng tiền,Cổ tức bằng tiền,Cổ tức bằng tiền,-,-,-,(500.000.000.000),-,(500.000.000.000),,,,-500000000000.0,,-500000000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.495.640.185.684,346.857.245,2.495.987.042.929,,,,2495640185684.0,346857245.0,2495987042929.0
Chênh lệch quy đổi ngoại tệ cáchoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ cáchoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ cáchoạt động ở nước ngoài,-,-,19.094.854.360,-,-,19.094.854.360,,,19094854360.0,,,19094854360.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,3.000.000.000.000,-,29.673.324.403,1.702.862.911.199,1.485.942.037,4.734.022.177.639,3000000000000.0,,29673324403.0,1702862911199.0,1485942037.0,4734022177639.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,223.880.600.000,1.535.501.732.805,-,-,-,1.759.382.332.805,223880600000.0,1535501732805.0,,,,1759382332805.0
Tăng vốn bằng cách cổ tức bằngcổ phiếu từ nguồn thẳng dư vốncổ phần (Thuyết minh 25),Tăng vốn bằng cách cổ tức bằngcổ phiếu từ nguồn thẳng dư vốncổ phần (Thuyết minh 25),Tăng vốn bằng cách cổ tức bằngcổ phiếu từ nguồn thẳng dư vốncổ phần (Thuyết minh 25),1.289.552.240.000,(1.289.552.240.000),-,-,-,-,1289552240000.0,-1289552240000.0,,,,
Cổ tức bằng tiền(Thuyết minh 26),Cổ tức bằng tiền(Thuyết minh 26),Cổ tức bằng tiền(Thuyết minh 26),-,-,-,(967.164.180.000),-,(967.164.180.000),,,,-967164180000.0,,-967164180000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,5.073.364.224.380,287.189.318,5.073.651.413.698,,,,5073364224380.0,287189318.0,5073651413698.0
Chênh lệch quy đổi ngoại tệ cáchoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ cáchoạt động ở nước ngoài,Chênh lệch quy đổi ngoại tệ cáchoạt động ở nước ngoài,-,-,(5.757.226.031),-,-,(5.757.226.031),,,-5757226031.0,,,-5757226031.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,4.513.432.840.000,245.949.492.805,23.916.098.372,5.809.062.955.579,1.773.131.355,10.594.134.518.111,4513432840000.0,245949492805.0,23916098372.0,5809062955579.0,1773131355.0,10594134518111.0
