row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2017VND > 64.969.047.604,Số phải nộptrong nămVND > 1.574.334.339.392,Số đã nộptrong nămVND > (612.781.648.093),Số đã cán trừtrong nămVND > (956.982.891.090),Số đãphân loại lạiVND > -,31/12/2017VND > 69.538.847.813,numeric__1/1/2017VND > 64.969.047.604,numeric__Số phải nộptrong nămVND > 1.574.334.339.392,numeric__Số đã nộptrong nămVND > (612.781.648.093),numeric__Số đã cán trừtrong nămVND > (956.982.891.090),numeric__Số đãphân loại lạiVND > -,numeric__31/12/2017VND > 69.538.847.813
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,16.980.945.810,266.691.772.560,(259.372.753.119),-,-,24.299.965.251,16980945810.0,266691772560.0,-259372753119.0,,,24299965251.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,71.426.557.278,(71.149.994.774),(276.562.504),-,-,,71426557278.0,-71149994774.0,-276562504.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,116.025.494.427,163.912.482.079,(318.798.833.058),-,38.860.856.552,-,116025494427.0,163912482079.0,-318798833058.0,,38860856552.0,
Các thuế khác,Các thuế khác,Các thuế khác,-,3.371.449.305,(3.361.931.348),-,900,9.518.857,,3371449305.0,-3361931348.0,,900.0,9518857.0
,,,197.975.487.841,2.079.736.600.614,(1.265.465.160.392),(957.259.453.594),38.860.857.452,93.848.331.921,197975487841.0,2079736600614.0,-1265465160392.0,-957259453594.0,38860857452.0,93848331921.0
(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,,,,,,
,,,,,1/1/2017VND,Số đã cán trừtrong nămVND,Số đãphân loại lạiVND,31/12/2017VND,,,,,,
Thuế nhà thầu nước ngoài,(b) Thuế phải thu Nhà nước > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,,,56.853.527.447,(276.562.504),-,56.576.964.943,,,56853527447.0,-276562504.0,,56576964943.0
Thuế thu nhập doanh nghiệp,(b) Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,-,-,38.860.856.552,38.860.856.552,,,,,38860856552.0,38860856552.0
Các thuế khác,(b) Thuế phải thu Nhà nước > Các thuế khác,Các thuế khác,,,-,-,900,900,,,,,900.0,900.0
,,,,,56.853.527.447,(276.562.504),38.860.857.452,95.437.822.395,,,56853527447.0,-276562504.0,38860857452.0,95437822395.0
