row_label_raw,row_label_full,Bên cho vay,Lợi tiên,31/12/2017VND,1/1/2017VND,numeric__Lợi tiên,numeric__31/12/2017VND,numeric__1/1/2017VND
Các khoản vay có đảm bảo,Các khoản vay có đảm bảo,Các khoản vay có đảm bảo,Các khoản vay có đảm bảo,Các khoản vay có đảm bảo,Các khoản vay có đảm bảo,,,
"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"") (i)","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"") (i)","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"") (i)","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"") (i)","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"") (i)","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"") (i)",,,
Khoản vay 1,"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"") (i) > Khoản vay 1",Khoản vay 1,VND,-,106.812.385.443,,,106812385443.0
Khoản vay 2,"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"") (i) > Khoản vay 2",Khoản vay 2,USD,873.584.591.673,-,,873584591673.0,
"Ngân hàng TMCP Công thương Việt Nam (""Vietinbank"") (ii)","Ngân hàng TMCP Công thương Việt Nam (""Vietinbank"") (ii)","Ngân hàng TMCP Công thương Việt Nam (""Vietinbank"") (ii)","Ngân hàng TMCP Công thương Việt Nam (""Vietinbank"") (ii)","Ngân hàng TMCP Công thương Việt Nam (""Vietinbank"") (ii)","Ngân hàng TMCP Công thương Việt Nam (""Vietinbank"") (ii)",,,
Khoản vay 3,"Ngân hàng TMCP Công thương Việt Nam (""Vietinbank"") (ii) > Khoản vay 3",Khoản vay 3,VND,1.913.772.674.679,1.647.157.457.453,,1913772674679.0,1647157457453.0
Khoản vay 4,"Ngân hàng TMCP Công thương Việt Nam (""Vietinbank"") (ii) > Khoản vay 4",Khoản vay 4,USD,1.071.313.513.020,334.867.496.106,,1071313513020.0,334867496106.0
Các khoản vay không đảm bảo,Các khoản vay không đảm bảo,Các khoản vay không đảm bảo,Các khoản vay không đảm bảo,Các khoản vay không đảm bảo,Các khoản vay không đảm bảo,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,,,
Khoản vay 5,Ngân hàng TMCP Ngoại thương Việt Nam > Khoản vay 5,Khoản vay 5,VND,141.151.969.667,340.862.342.163,,141151969667.0,340862342163.0
