row_label_raw,row_label_full,col_0,Mã số,2017 VND,2016 VND,numeric__Mã số,numeric__2017 VND,numeric__2016 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận kế toán trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,01,5.302.638.877.099,2.703.146.064.623,1.0,5302638877099.0,2703146064623.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
Khấu hao và phân bổ,Điều chỉnh cho các khoản > Khấu hao và phân bổ,Khấu hao và phân bổ,02,94.989.734.425,45.873.196.847,2.0,94989734425.0,45873196847.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,-,53.085.360.121,3.0,,53085360121.0
Giá trị thời gian của dòng tiền đã đượcchiết khấu của khoản dự phòng,Điều chỉnh cho các khoản > Giá trị thời gian của dòng tiền đã đượcchiết khấu của khoản dự phòng,Giá trị thời gian của dòng tiền đã đượcchiết khấu của khoản dự phòng,03,277.580.251.779,442.283.153.862,3.0,277580251779.0,442283153862.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,5.586.837.437,(50.494.265.652),4.0,5586837437.0,-50494265652.0
Lãi tiền gửi và cho vay,Điều chỉnh cho các khoản > Lãi tiền gửi và cho vay,Lãi tiền gửi và cho vay,05,(70.603.613.358),(55.494.512.525),5.0,-70603613358.0,-55494512525.0
Phần lỗ trong các công ty liên kết,Điều chỉnh cho các khoản > Phần lỗ trong các công ty liên kết,Phần lỗ trong các công ty liên kết,05,44.276.615.962,14.605.462.081,5.0,44276615962.0,14605462081.0
Cổ tức được chia,Điều chỉnh cho các khoản > Cổ tức được chia,Cổ tức được chia,05,(3.068.690.000),(1.180.266.000),5.0,-3068690000.0,-1180266000.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,237.597.428.875,180.732.739.883,6.0,237597428875.0,180732739883.0
