row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_4,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_5,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_5
15. Chi phí trả trước,15. Chi phí trả trước,15. Chi phí trả trước,15. Chi phí trả trước,15. Chi phí trả trước,15. Chi phí trả trước,15. Chi phí trả trước,15. Chi phí trả trước,15. Chi phí trả trước,,,,,,
(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,,,,,,
,,,,,,,31/12/2017VND,1/1/2017VND,,,,,,
Chi phí thuê máy bay trả trước,(a) Chi phí trả trước ngắn hạn > Chi phí thuê máy bay trả trước,Chi phí thuê máy bay trả trước,Chi phí thuê máy bay trả trước,Chi phí thuê máy bay trả trước,Chi phí thuê máy bay trả trước,Chi phí thuê máy bay trả trước,201.055.142.423,227.656.900.271,,,,,201055142423.0,227656900271.0
Chi phí bảo dưỡng máy bay trả trước,(a) Chi phí trả trước ngắn hạn > Chi phí bảo dưỡng máy bay trả trước,Chi phí bảo dưỡng máy bay trả trước,Chi phí bảo dưỡng máy bay trả trước,Chi phí bảo dưỡng máy bay trả trước,Chi phí bảo dưỡng máy bay trả trước,Chi phí bảo dưỡng máy bay trả trước,14.643.249.582,13.212.911.483,,,,,14643249582.0,13212911483.0
Chi phí trả trước ngắn hạn khác,(a) Chi phí trả trước ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,2.988.399.599,632.216.257,,,,,2988399599.0,632216257.0
,,,,,,,218.686.791.604,241.502.028.011,,,,,218686791604.0,241502028011.0
(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,,,,,,
,,,Chi phíbảo dưỡngmáy bayVND,Chi phíhoàn tràtài sĩn thuêVND,Chi phíkiểm tra vàsửa chữa lớnVND,"Phụ tùng xoay vòng,công cụ vàdụng cụVND",Chi phíkhácVND,TổngVND,,,,,,
Số dư đầu năm,(b) Chi phí trả trước dài hạn > Số dư đầu năm,Số dư đầu năm,2.797.822.490.216,172.072.300.904,166.521.757.016,210.909.450.415,189.454.376,3.347.515.452.927,2797822490216.0,172072300904.0,166521757016.0,210909450415.0,189454376.0,3347515452927.0
Tăng trong năm,(b) Chi phí trả trước dài hạn > Tăng trong năm,Tăng trong năm,2.840.102.738.976,151.733.786.930,49.520.498.975,94.109.284.258,545.461.111,3.136.011.770.250,2840102738976.0,151733786930.0,49520498975.0,94109284258.0,545461111.0,3136011770250.0
Khẩu hao trong năm,(b) Chi phí trả trước dài hạn > Khẩu hao trong năm,Khẩu hao trong năm,(1.020.988.125.060),(3.094.968.923),(110.144.260.547),(168.109.508.121),(280.466.454),(1.302.617.329.105),-1020988125060.0,-3094968923.0,-110144260547.0,-168109508121.0,-280466454.0,-1302617329105.0
Xóa sổ trong năm,(b) Chi phí trả trước dài hạn > Xóa sổ trong năm,Xóa sổ trong năm,(163.140.034.641),-,-,-,-,(163.140.034.641),-163140034641.0,,,,,-163140034641.0
Số dư cuối năm,(b) Chi phí trả trước dài hạn > Số dư cuối năm,Số dư cuối năm,4.453.797.069.491,320.711.118.911,105.897.995.444,136.909.226.552,454.449.033,5.017.769.859.431,4453797069491.0,320711118911.0,105897995444.0,136909226552.0,454449033.0,5017769859431.0
