row_label_raw,row_label_full,Tên,Nơi thành lập,Hoạt động chính,Giấy chứng nhận đăng ký kinh doanh,Tỷ lệ lợi ích sở hữu/ quyền biểu quyết,Tỷ lệ lợi ích sở hữu/ quyền biểu quyết_1,numeric__Nơi thành lập,numeric__Hoạt động chính,numeric__Giấy chứng nhận đăng ký kinh doanh,numeric__Tỷ lệ lợi ích sở hữu/ quyền biểu quyết,numeric__Tỷ lệ lợi ích sở hữu/ quyền biểu quyết_1
Tên,Tên,Tên,Nơi thành lập,Hoạt động chính,Giấy chứng nhận đăng ký kinh doanh,31/12/2017,1/1/2017,,,,,
Các công ty con Công ty Cổ phần Vietjet Air Cargo,Tên > Các công ty con Công ty Cổ phần Vietjet Air Cargo,Các công ty con Công ty Cổ phần Vietjet Air Cargo,Việt Nam,Cung cấp các dịch vụ hỗ trợ liên quan đến vận chuyển hàng hóa.,Số 0312759089 ngày 27 tháng 8 năm 2014,90%,90%,,,,0.9,0.9
Vietjet Air IVB No. I Limited (*),Tên > Vietjet Air IVB No. I Limited (*),Vietjet Air IVB No. I Limited (*),British Virgin Islands,Mua bán máy bay.,Số 1825671 ngày 27 tháng 5 năm 2014,100%,100%,,,,1.0,1.0
