row_label_raw,row_label_full,Công ty Tài chính Cổ phần Xi măng,Số cuối nămVND > 43.988.008.866,Ngày đáo hạn > Ngày 26 tháng 4năm 2020,numeric__Số cuối nămVND > 43.988.008.866,numeric__Ngày đáo hạn > Ngày 26 tháng 4năm 2020
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.700.000.000,,2700000000.0,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,41.288.008.866,,41288008866.0,
