row_label_raw,row_label_full,Số đầu năm,VNDNăm nay > -,numeric__VNDNăm nay > -
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,9.886.497.927,9886497927.0
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,(1.669.015.930),-1669015930.0
Số cuối năm,Số cuối năm,Số cuối năm,8.217.481.997,8217481997.0
