row_label_raw,row_label_full,Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm > Giá gốc > 388.299,Số cuối năm > Dự phòng > -,Số cuối năm > Giá trị hợp lý > 388.299,Số đầu năm > Giá gốc > 7.632.180.000,Số đầu năm > Dự phòng > (1.361.110.450),Số đầu năm > Giá trị hợp lý > 6.271.069.550,numeric__Số cuối năm > Giá gốc > 388.299,numeric__Số cuối năm > Dự phòng > -,numeric__Số cuối năm > Giá trị hợp lý > 388.299,numeric__Số đầu năm > Giá gốc > 7.632.180.000,numeric__Số đầu năm > Dự phòng > (1.361.110.450),numeric__Số đầu năm > Giá trị hợp lý > 6.271.069.550
Các khoản đầu tư khác,Các khoản đầu tư khác,Các khoản đầu tư khác,57.403.707,(20.401.084),37.002.623,3.144.111.414,(2.008.903.364),1.135.208.050,57403707.0,-20401084.0,37002623.0,3144111414.0,-2008903364.0,1135208050.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,57.792.006,(20.401.084),37.390.922,10.776.291.414,(3.370.013.814),7.406.277.600,57792006.0,-20401084.0,37390922.0,10776291414.0,-3370013814.0,7406277600.0
