row_label_raw,row_label_full,col_0,Nguyễn Quang,Trường Thọ,VND Tổng cộng,numeric__Nguyễn Quang,numeric__Trường Thọ,numeric__VND Tổng cộng
Giá trị đầu tư,Giá trị đầu tư,Giá trị đầu tư,Giá trị đầu tư,Giá trị đầu tư,Giá trị đầu tư,,,
Số đầu năm,Giá trị đầu tư > Số đầu năm,Số đầu năm,10.200.000.000,13.770.000.000,23.970.000.000,10200000000.0,13770000000.0,23970000000.0
Giảm khoản đầu tư,Giá trị đầu tư > Giảm khoản đầu tư,Giảm khoản đầu tư,-,(13.770.000.000),(13.770.000.000),,-13770000000.0,-13770000000.0
Số cuối năm,Giá trị đầu tư > Số cuối năm,Số cuối năm,10.200.000.000,-,10.200.000.000,10200000000.0,,10200000000.0
Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên kết,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
Phần lợi nhuận từ công ty liên kết,Số đầu năm > Phần lợi nhuận từ công ty liên kết,Phần lợi nhuận từ công ty liên kết,1.242.652.919,(804.564.148),438.088.771,1242652919.0,-804564148.0,438088771.0
Cổ tức được chia trong năm,Số đầu năm > Cổ tức được chia trong năm,Cổ tức được chia trong năm,(1.242.652.919),-,(1.242.652.919),-1242652919.0,,-1242652919.0
Chuyển thành khoản đầu tư vào công ty con,Số đầu năm > Chuyển thành khoản đầu tư vào công ty con,Chuyển thành khoản đầu tư vào công ty con,-,804.564.148,804.564.148,,804564148.0,804564148.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,10.200.000.000,13.770.000.000,23.970.000.000,10200000000.0,13770000000.0,23970000000.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,10.200.000.000,-,10.200.000.000,10200000000.0,,10200000000.0
