row_label_raw,row_label_full,col_0,Vay ngắn hạn,VNDVay dài hạn,numeric__Vay ngắn hạn,numeric__VNDVay dài hạn
Số đầu năm,Số đầu năm,Số đầu năm,1.633.856.296.348,3.514.618.455.939,1633856296348.0,3514618455939.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,2.994.211.517.911,39.241.962.583,2994211517911.0,39241962583.0
Kết chuyển vay dài hạn đến hạn trả,Kết chuyển vay dài hạn đến hạn trả,Kết chuyển vay dài hạn đến hạn trả,992.847.118.709,(992.847.118.709),992847118709.0,-992847118709.0
Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,(3.681.210.623.055),-,-3681210623055.0,
Chênh lệch tỷ giá hối đoái do đánh giá lại số dư cuối kỳ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái do đánh giá lại số dư cuối kỳ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái do đánh giá lại số dư cuối kỳ có gốc ngoại tệ,44.446.991.557,74.108.166.879,44446991557.0,74108166879.0
Số cuối năm,Số cuối năm,Số cuối năm,1.984.151.301.470,2.635.121.466.692,1984151301470.0,2635121466692.0
Số có khả năng trả nợ,Số có khả năng trả nợ,Số có khả năng trả nợ,1.984.151.301.470,2.635.121.466.692,1984151301470.0,2635121466692.0
