row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,123.086.610.651,137.645.570.721,123086610651.0,137645570721.0
Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,61.525.314.772,66.022.899.572,61525314772.0,66022899572.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,38.708.247.915,40.397.525.696,38708247915.0,40397525696.0
Các chi phí khác,Các chi phí khác,Các chi phí khác,22.853.047.964,31.225.145.453,22853047964.0,31225145453.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,192.224.989.602,212.543.315.829,192224989602.0,212543315829.0
Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,72.709.906.905,72.692.452.086,72709906905.0,72692452086.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,70.555.616.525,62.620.432.150,70555616525.0,62620432150.0
Phân bổ lợi thế kinh doanh và giá trị thương hiệu,Phân bổ lợi thế kinh doanh và giá trị thương hiệu,Phân bổ lợi thế kinh doanh và giá trị thương hiệu,-,26.675.228.100,,26675228100.0
Các chi phí khác,Các chi phí khác,Các chi phí khác,48.959.466.172,50.555.203.493,48959466172.0,50555203493.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,315.311.600.253,350.188.886.550,315311600253.0,350188886550.0
