row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá,Lợi nhuận sau thuế chưa phân phối,Vốn khác,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Vốn khác,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.435.461.780.000,555.206.995.486,(5.658.924.500),(28.377.933),7.149.694.161.602,1.130.494.084,7.175.707.478,12.142.981.836.217,4435461780000.0,555206995486.0,-5658924500.0,-28377933.0,7149694161602.0,1130494084.0,7175707478.0,12142981836217.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.917.767.783.159,-,2.104.926.348,3.919.872.709.507,,,,,3917767783159.0,,2104926348.0,3919872709507.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,96.638.090.000,2.903.435.500,5.658.924.500,-,-,-,-,105.200.450.000,96638090000.0,2903435500.0,5658924500.0,,,,,105200450000.0
Phân loại lại,Năm trước > Phân loại lại,Phân loại lại,-,-,-,-,1.130.494.084,(1.130.494.084),-,-,,,,,1130494084.0,-1130494084.0,,
Chênh lệch tỷ giá,Năm trước > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(1.415.378.292),-,-,-,(1.415.378.292),,,,-1415378292.0,,,,-1415378292.0
Mua lại cổ phiếu quỹ,Năm trước > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(6.040.930.000),-,-,-,-,(6.040.930.000),,,-6040930000.0,,,,,-6040930000.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,(678.908.841.000),-,-,(678.908.841.000),,,,,-678908841000.0,,,-678908841000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.532.099.870.000,558.110.430.986,(6.040.930.000),(1.443.756.225),10.389.683.597.845,-,9.280.633.826,15.481.689.846.432,4532099870000.0,558110430986.0,-6040930000.0,-1443756225.0,10389683597845.0,,9280633826.0,15481689846432.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.532.099.870.000,558.110.430.986,(6.040.930.000),(1.443.756.225),10.389.683.597.845,-,9.280.633.826,15.481.689.846.432,4532099870000.0,558110430986.0,-6040930000.0,-1443756225.0,10389683597845.0,,9280633826.0,15481689846432.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.898.869.278.220,-,2.557.395.670,4.901.426.673.890,,,,,4898869278220.0,,2557395670.0,4901426673890.0
Phát hành cổ phiếu theo chương trình ESOP (*),Năm nay > Phát hành cổ phiếu theo chương trình ESOP (*),Phát hành cổ phiếu theo chương trình ESOP (*),222.212.100.000,-,6.040.930.000,-,-,-,-,228.253.030.000,222212100000.0,,6040930000.0,,,,,228253030000.0
Mua lại cổ phiếu quỹ,Năm nay > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(2.320.000.000),-,-,-,-,(2.320.000.000),,,-2320000000.0,,,,,-2320000000.0
Phát hành cổ phiếu chia cổ tức (**),Năm nay > Phát hành cổ phiếu chia cổ tức (**),Phát hành cổ phiếu chia cổ tức (**),2.376.342.980.000,-,-,-,(2.376.342.980.000),-,-,-,2376342980000.0,,,,-2376342980000.0,,,
Chia cổ tức (**),Năm nay > Chia cổ tức (**),Chia cổ tức (**),-,-,-,-,(237.635.732.000),-,-,(237.635.732.000),,,,,-237635732000.0,,,-237635732000.0
Chênh lệch tỷ giá,Năm nay > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,6.832.181.524,-,-,-,6.832.181.524,,,,6832181524.0,,,,6832181524.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.130.654.950.000,558.110.430.986,(2.320.000.000),5.388.425.299,12.674.574.164.065,-,11.838.029.496,20.378.245.999.846,7130654950000.0,558110430986.0,-2320000000.0,5388425299.0,12674574164065.0,,11838029496.0,20378245999846.0
