row_label_raw,row_label_full,Năm phát sinh,Có thể chuyển lỗ đến năm,col_2,Lỗ thuế,Đã chuyển lỗ đến ngày 31 tháng 12 năm 2021,Không được chuyển lỗ,Chưa chuyển lỗ tại ngày 31 tháng 12 năm 2021,numeric__Có thể chuyển lỗ đến năm,numeric__col_2,numeric__Lỗ thuế,numeric__Đã chuyển lỗ đến ngày 31 tháng 12 năm 2021,numeric__Không được chuyển lỗ,numeric__Chưa chuyển lỗ tại ngày 31 tháng 12 năm 2021
Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,,,,,,
2016,Công ty Cổ phần Thương mại Bách Hóa Xanh > 2016,2016,2021,(*),54.944.366.695,-,(54.944.366.695),-,2021.0,,54944366695.0,,-54944366695.0,
2017,Công ty Cổ phần Thương mại Bách Hóa Xanh > 2017,2017,2022,(*),144.608.819.275,-,-,144.608.819.275,2022.0,,144608819275.0,,,144608819275.0
2018,Công ty Cổ phần Thương mại Bách Hóa Xanh > 2018,2018,2023,(**),555.577.340.151,-,-,555.577.340.151,2023.0,,555577340151.0,,,555577340151.0
2019,Công ty Cổ phần Thương mại Bách Hóa Xanh > 2019,2019,2024,(**),978.365.755.382,-,-,978.365.755.382,2024.0,,978365755382.0,,,978365755382.0
2020,Công ty Cổ phần Thương mại Bách Hóa Xanh > 2020,2020,2025,(**),1.748.809.011.455,-,-,1.748.809.011.455,2025.0,,1748809011455.0,,,1748809011455.0
2021,Công ty Cổ phần Thương mại Bách Hóa Xanh > 2021,2021,2026,(**),1.005.808.243.298,-,-,1.005.808.243.298,2026.0,,1005808243298.0,,,1005808243298.0
,,,,,4.488.113.536.256,-,(54.944.366.695),4.433.169.169.561,,,4488113536256.0,,-54944366695.0,4433169169561.0
"MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.",,,,,,
2017,"MWG (Cambodia) Co., Ltd. > 2017",2017,2022,(**),9.059.389.204,-,-,9.059.389.204,2022.0,,9059389204.0,,,9059389204.0
2018,"MWG (Cambodia) Co., Ltd. > 2018",2018,2023,(**),8.753.185.646,-,-,8.753.185.646,2023.0,,8753185646.0,,,8753185646.0
2019,"MWG (Cambodia) Co., Ltd. > 2019",2019,2024,(**),3.438.115.589,-,-,3.438.115.589,2024.0,,3438115589.0,,,3438115589.0
2020,"MWG (Cambodia) Co., Ltd. > 2020",2020,2025,(**),65.469.770.143,-,-,65.469.770.143,2025.0,,65469770143.0,,,65469770143.0
2021,"MWG (Cambodia) Co., Ltd. > 2021",2021,2026,(**),187.340.353.909,-,-,187.340.353.909,2026.0,,187340353909.0,,,187340353909.0
,,,,,274.060.814.491,-,-,274.060.814.491,,,274060814491.0,,,274060814491.0
Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,,,,,,
2018,Công ty Cổ phần Thế Giới Số Trần Anh > 2018,2018,2023,(**),46.920.164.130,(36.693.576.868),-,10.226.587.262,2023.0,,46920164130.0,-36693576868.0,,10226587262.0
TỔNG CỘNG,Công ty Cổ phần Thế Giới Số Trần Anh > TỔNG CỘNG,TỔNG CỘNG,,,4.809.094.514.877,(36.693.576.868),(54.944.366.695),4.717.456.571.314,,,4809094514877.0,-36693576868.0,-54944366695.0,4717456571314.0
