row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Thương hiệu,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Thương hiệu,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,25.998.878.500,9.812.759.700,-,35.811.638.200,25998878500.0,9812759700.0,,35811638200.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,959.438.000,-,959.438.000,,959438000.0,,959438000.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,-,53.526.696.627,53.526.696.627,,,53526696627.0,53526696627.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,25.998.878.500,10.772.197.700,53.526.696.627,90.297.772.827,25998878500.0,10772197700.0,53526696627.0,90297772827.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(8.169.259.972),-,(8.169.259.972),,-8169259972.0,,-8169259972.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.914.572.843),-,(1.914.572.843),,-1914572843.0,,-1914572843.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(10.083.832.815),-,(10.083.832.815),,-10083832815.0,,-10083832815.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,25.998.878.500,1.643.499.728,-,27.642.378.228,25998878500.0,1643499728.0,,27642378228.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,25.998.878.500,688.364.885,53.526.696.627,80.213.940.012,25998878500.0,688364885.0,53526696627.0,80213940012.0
