row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Trụ sở,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu và tỉ lệ quyền biểu quyết (%),Tỷ lệ sở hữu và tỉ lệ quyền biểu quyết (%)_1,numeric__Tên công ty con_1,numeric__Trụ sở,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu và tỉ lệ quyền biểu quyết (%),numeric__Tỷ lệ sở hữu và tỉ lệ quyền biểu quyết (%)_1
Tên công ty con,Tên công ty con,Tên công ty con,Tên công ty con,Trụ sở,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số đầu năm,,,,,,
(1),Tên công ty con > (1),(1),Công ty Cổ phần Thế Giới Di Động,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại sản phẩm điện tử,Đang hoạt động,"99,95","99,95",,,,,99.95,99.95
(2),Tên công ty con > (2),(2),Công ty Cổ phần Thương mại Bách Hóa Xanh,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại thực phẩm,Đang hoạt động,"99,95","99,95",,,,,99.95,99.95
(3),Tên công ty con > (3),(3),Công ty Cổ phần Thế Giới Số Trần Anh,"Thành phố Hà Nội, Việt Nam",Thương mại sản phẩm điện tử,Đang hoạt động,"99,33","99,33",,,,,99.33,99.33
(4),Tên công ty con > (4),(4),Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,"Thành phố Hồ Chí Minh, Việt Nam",Công nghệ thông tin,Đang hoạt động,"100,00","100,00",,,,,100.0,100.0
(5),Tên công ty con > (5),(5),"MWG (Cambodia) Co., Ltd","Phnôm Pênh, Campuchia",Thương mại sản phẩm điện tử,Đang hoạt động,"99,95","99,95",,,,,99.95,99.95
(6),Tên công ty con > (6),(6),Công ty Cổ phần Dịch vụ Lắp đặt – Sửa chữa – Bảo hành Tận Tâm,"Thành phố Hồ Chí Minh, Việt Nam","Sửa chữa máy móc, thiết bị",Đang hoạt động,"99,99","99,99",,,,,99.99,99.99
(7),Tên công ty con > (7),(7),Công ty Cổ phần Bán lẻ An Khang,"Thành phố Hồ Chí Minh, Việt Nam",Bán lẻ được phẩm,Đang hoạt động,"99,99",49,,,,,99.99,49.0
(8),Tên công ty con > (8),(8),Công ty Cổ phần 4K Farm,"Bà Rịa - Vũng Tàu, Việt Nam",Trồng và chế biến nông sản,Đang hoạt động,"99,99",-,,,,,99.99,
(9),Tên công ty con > (9),(9),Công ty Cổ phần Logistics Toàn Tín,"Thành phố Hồ Chí Minh, Việt Nam",Kho vận,Đang hoạt động,"99,99",-,,,,,99.99,
(10),Tên công ty con > (10),(10),Công ty TNHH Vui Vui,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại điện tử,Đang hoạt động,"100,00",-,,,,,100.0,
