row_label_raw,row_label_full,col_0,VND,numeric__VND
,,,Công ty Cổ phần ThếGiới Số Trần Anh,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,613.918.721.185,613918721185.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Giá trị phân bổ lũy kế > Số đầu năm,Số đầu năm,(184.175.616.357),-184175616357.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(61.391.872.119),-61391872119.0
Số cuối năm,Giá trị phân bổ lũy kế > Số cuối năm,Số cuối năm,(245.567.488.476),-245567488476.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,429.743.104.828,429743104828.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,368.351.232.709,368351232709.0
