row_label_raw,row_label_full,Tài sản,Tài sản_1,numeric__Tài sản_1
"Tài sản, nhà xưởng và trang thiết bị","Tài sản, nhà xưởng và trang thiết bị","Tài sản, nhà xưởng và trang thiết bị",65.072.941.628,65072941628.0
Giá trị thương hiệu,Giá trị thương hiệu,Giá trị thương hiệu,53.516.896.185,53516896185.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,14.997.705.101,14997705101.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,255.847.499.975,255847499975.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,9.692.551.196,9692551196.0
Các khoản đầu tư nằm giữ đến ngày đáo hạn,Các khoản đầu tư nằm giữ đến ngày đáo hạn,Các khoản đầu tư nằm giữ đến ngày đáo hạn,9.400.000.000,9400000000.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,23.202.670.152,23202670152.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,1.187.200.000,1187200000.0
,,,432.917.464.237,432917464237.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,57.746.025.709,57746025709.0
Thuế và các khoản phải nộp nhà nước,Nợ phải trả > Thuế và các khoản phải nộp nhà nước,Thuế và các khoản phải nộp nhà nước,91.047569,91047569.0
Phải trả người lao động,Nợ phải trả > Phải trả người lao động,Phải trả người lao động,2.639.791.007,2639791007.0
Chi phí phải trả ngắn hạn,Nợ phải trả > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,12.992.928.078,12992928078.0
Các khoản phải trả khác,Nợ phải trả > Các khoản phải trả khác,Các khoản phải trả khác,3.929.891.874,3929891874.0
Vay,Nợ phải trả > Vay,Vay,282.400.000.000,282400000000.0
,,,359.799.684.237,359799684237.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,73.117.780.000,73117780000.0
Tổng tài sản thuần được hợp nhất,Nợ phải trả > Tổng tài sản thuần được hợp nhất,Tổng tài sản thuần được hợp nhất,73.117.780.000,73117780000.0
Lãi từ giao dịch mua giá rề,Nợ phải trả > Lãi từ giao dịch mua giá rề,Lãi từ giao dịch mua giá rề,(20.905.066.063),-20905066063.0
Tổng chi phí hợp nhất,Nợ phải trả > Tổng chi phí hợp nhất,Tổng chi phí hợp nhất,52.212.713.937,52212713937.0
