row_label_raw,row_label_full,col_0,1/1/2019 VND,Tăng thêm VND,Chi trả VND,31/12/2019 VND,numeric__1/1/2019 VND,numeric__Tăng thêm VND,numeric__Chi trả VND,numeric__31/12/2019 VND
"Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh",,,,
Khoản vay VND (i),"Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh > Khoản vay VND (i)",Khoản vay VND (i),700.000.000.000,-,(700.000.000.000),-,700000000000.0,,-700000000000.0,
Khoản vay USD (ii),"Ngân hàng of Tokyo - Mitsubishi UFJ, Chi nhánh Thành phố Hồ Chí Minh > Khoản vay USD (ii)",Khoản vay USD (ii),-,5.344.320.000.000,(2.790.120.000.000),2.554.200.000.000,,5344320000000.0,-2790120000000.0,2554200000000.0
"Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh",,,,
Khoản vay VND (iii),"Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh > Khoản vay VND (iii)",Khoản vay VND (iii),-,200.000.000.000,(200.000.000.000),-,,200000000000.0,-200000000000.0,
Khoản vay USD (iv),"Ngân hàng Sumitomo Mitsui, Chi nhánh Thành phố Hồ Chí Minh > Khoản vay USD (iv)",Khoản vay USD (iv),-,2.320.900.000.000,-,2.320.900.000.000,,2320900000000.0,,2320900000000.0
,,,700.000.000.000,7.865.220.000.000,(3.690.120.000.000),4.875.100.000.000,700000000000.0,7865220000000.0,-3690120000000.0,4875100000000.0
