row_label_raw,row_label_full,col_0,31/12/2019 > Giá gốc VND,31/12/2019 > Giá trị hợp lý VND,31/12/2019 > Dự phòng giảm giá VND,1/1/2019 > Giá gốc VND,1/1/2019 > Giá trị hợp lý VND,1/1/2019 > Dự phòng giảm giá VND,numeric__31/12/2019 > Giá gốc VND,numeric__31/12/2019 > Giá trị hợp lý VND,numeric__31/12/2019 > Dự phòng giảm giá VND,numeric__1/1/2019 > Giá gốc VND,numeric__1/1/2019 > Giá trị hợp lý VND,numeric__1/1/2019 > Dự phòng giảm giá VND
Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,Đầu tư góp vốn vào các công ty con,,,,,,
▪ Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Đầu tư góp vốn vào các công ty con > ▪ Công ty TNHH Một Thành viên Bò Sữa Việt Nam,▪ Công ty TNHH Một Thành viên Bò Sữa Việt Nam,2.250.780.000.000,(i),-,2.250.780.000.000,(i),-,2250780000000.0,,,2250780000000.0,,
▪ Driftwood Dairy Holding Corporation (ii),Đầu tư góp vốn vào các công ty con > ▪ Driftwood Dairy Holding Corporation (ii),▪ Driftwood Dairy Holding Corporation (ii),458.395.918.429,(i),-,225.895.918.429,(i),-,458395918429.0,,,225895918429.0,,
▪ Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Đầu tư góp vốn vào các công ty con > ▪ Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,▪ Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,66.463.150.000,(i),-,66.463.150.000,(i),-,66463150000.0,,,66463150000.0,,
"▪ Angkor Dairy Products Co, Ltd.","Đầu tư góp vốn vào các công ty con > ▪ Angkor Dairy Products Co, Ltd.","▪ Angkor Dairy Products Co, Ltd.",464.289.241.751,(i),-,464.289.241.751,(i),-,464289241751.0,,,464289241751.0,,
▪ Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Đầu tư góp vốn vào các công ty con > ▪ Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,▪ Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,1.116.682.699.703,(i),(1.598.149.668),856.682.699.703,(i),(19.842.623.474),1116682699703.0,,-1598149668.0,856682699703.0,,-19842623474.0
▪ Công ty Cổ phần Đường Việt Nam,Đầu tư góp vốn vào các công ty con > ▪ Công ty Cổ phần Đường Việt Nam,▪ Công ty Cổ phần Đường Việt Nam,1.253.306.061.273,(i),-,1.328.381.061.273,(i),-,1253306061273.0,,,1328381061273.0,,
"▪ Lao-Jagro Development Xiengkhouang Co., Ltd. (iii)","Đầu tư góp vốn vào các công ty con > ▪ Lao-Jagro Development Xiengkhouang Co., Ltd. (iii)","▪ Lao-Jagro Development Xiengkhouang Co., Ltd. (iii)",551.937.690.646,(i),-,217.100.901.045,(i),-,551937690646.0,,,217100901045.0,,
▪ Công ty Cổ phần GTNFoods (iv),Đầu tư góp vốn vào các công ty con > ▪ Công ty Cổ phần GTNFoods (iv),▪ Công ty Cổ phần GTNFoods (iv),3.447.331.944.836,(i),-,-,-,-,3447331944836.0,,,,,
,,,9.609.186.706.638,,(1.598.149.668),5.409.592.972.201,,(19.842.623.474),9609186706638.0,,-1598149668.0,5409592972201.0,,-19842623474.0
