row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Bò Sửa Việt Nam,Mối quan hệ > Công ty con,Loại giao dịch > Bán tài sản cố định Mua hàng hóa,2019 VND > 1.069.757.134 1.495.849.392.031,2018 VND > 232.909.092 1.323.893.517.444,numeric__Mối quan hệ > Công ty con,numeric__Loại giao dịch > Bán tài sản cố định Mua hàng hóa,numeric__2019 VND > 1.069.757.134 1.495.849.392.031,numeric__2018 VND > 232.909.092 1.323.893.517.444
Công ty TNHH Một Thành viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sửa Thống Nhất Thanh Hóa,Công ty con,Bán tài sản cố định Mua hàng hóa Góp vốn,43.636.363 285.074.050.500 260.000.000.000,27.000.000 129.853.625.640 235.000.000.000,,,,
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Mua hàng hóa Bán tài sản cố định,19.033.269.600 209.000.000,26.672.407.200 -,,,,
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Bán tài sản cố định Mua hàng hóa Bán công cụ,123.726.495 108.683.092.336 -,1.046.871.844 222.878.019.209 174.296.810,,,,
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Angkor Dairy Products Co., Ltd. > Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Mua cổ phần Góp vốn,- 334.836.789.600,133.538.261.445 82.098.270.000,,,-334836789600.0,
Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,"Angkor Dairy Products Co., Ltd. > Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia",Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Công ty con,Mua hàng hóa,366.264.739.197,614.692.993.541,,,366264739197.0,614692993541.0
Driftwood Dairy Holding Corporation,"Angkor Dairy Products Co., Ltd. > Driftwood Dairy Holding Corporation",Driftwood Dairy Holding Corporation,Công ty con,Góp vốn,232.500.000.000,-,,,232500000000.0,
Miraka Holdings Limited,"Angkor Dairy Products Co., Ltd. > Miraka Holdings Limited",Miraka Holdings Limited,Công ty liên kết,Mua hàng hóa,71.979.909.120,92.116.872.865,,,71979909120.0,92116872865.0
Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty liên kết,Mua hàng hóa Góp vốn,86.589.779.905 -,368.669.693.195 12.250.000.000,,,,
Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần APIS > Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty liên kết,Mua hàng hóa và dịch vụ,14.275.545.286,41.201.750,,,14275545286.0,41201750.0
Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,Công ty Cổ phần APIS > Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,,Cổ tức,3.448.851.092.500,2.612.765.980.000,,,3448851092500.0,2612765980000.0
Thành viên Hội đồng Quản trị và Ban Điều hành,Công ty Cổ phần APIS > Thành viên Hội đồng Quản trị và Ban Điều hành,Thành viên Hội đồng Quản trị và Ban Điều hành,,Lương và thù lao,107.144.571.099,105.156.020.454,,,107144571099.0,105156020454.0
