row_label_raw,row_label_full,col_0,Trong nước(Khách hàng tại Việt Nam)Năm kết thúc ngày,Trong nước(Khách hàng tại Việt Nam)Năm kết thúc ngày_1,Nước ngoài(Khách hàng ở các nước khác Việt Nam)Năm kết thúc ngày,Nước ngoài(Khách hàng ở các nước khác Việt Nam)Năm kết thúc ngày_1,Tổng cộngNăm kết thúc ngày,Tổng cộngNăm kết thúc ngày_1,numeric__Trong nước(Khách hàng tại Việt Nam)Năm kết thúc ngày,numeric__Trong nước(Khách hàng tại Việt Nam)Năm kết thúc ngày_1,numeric__Nước ngoài(Khách hàng ở các nước khác Việt Nam)Năm kết thúc ngày,numeric__Nước ngoài(Khách hàng ở các nước khác Việt Nam)Năm kết thúc ngày_1,numeric__Tổng cộngNăm kết thúc ngày,numeric__Tổng cộngNăm kết thúc ngày_1
,,,2019VND,2018VND,2019VND,2018VND,2019VND,2018VND,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,45.596.183.348.109,42.383.251.043.057,5.175.327.186.341,4.509.958.990.817,50.771.510.534.450,46.893.210.033.874,45596183348109.0,42383251043057.0,5175327186341.0,4509958990817.0,50771510534450.0,46893210033874.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,(23.759.923.513.926),(21.909.089.820.779),(1.976.444.422.803),(1.766.479.128.246),(25.736.367.936.729),(23.675.568.949.025),-23759923513926.0,-21909089820779.0,-1976444422803.0,-1766479128246.0,-25736367936729.0,-23675568949025.0
Lợi nhuận theo bộ phận,Lợi nhuận theo bộ phận,Lợi nhuận theo bộ phận,21.836.259.834.183,20.474.161.222.278,3.198.882.763.538,2.743.479.862.571,25.035.142.597.721,23.217.641.084.849,21836259834183.0,20474161222278.0,3198882763538.0,2743479862571.0,25035142597721.0,23217641084849.0
